Episode_Return,Episode_Return_smooth,env_step
10.0,17.700000000000003,177
13.0,18.1,190
20.0,16.6,210
12.0,16.3,222
14.0,16.6,236
17.0,16.900000000000002,253
9.0,15.000000000000002,262
38.0,17.3,300
29.0,18.800000000000004,329
21.0,18.300000000000004,350
20.0,19.3,370
54.0,23.400000000000006,424
23.0,23.7,447
31.0,25.600000000000005,478
12.0,25.400000000000002,490
18.0,25.500000000000004,508
16.0,26.200000000000006,524
15.0,23.900000000000002,539
24.0,23.400000000000006,563
15.0,22.800000000000004,578
10.0,21.799999999999997,588
31.0,19.5,619
35.0,20.700000000000003,654
16.0,19.200000000000003,670
15.0,19.5,685
47.0,22.4,732
29.0,23.700000000000003,761
44.0,26.6,805
74.0,31.599999999999994,879
13.0,31.399999999999995,892
12.0,31.599999999999994,904
49.0,33.4,953
11.0,31.0,964
33.0,32.7,997
8.0,32.0,1005
21.0,29.400000000000006,1026
25.0,29.000000000000007,1051
9.0,25.500000000000004,1060
19.0,20.0,1079
16.0,20.3,1095
52.0,24.3,1147
29.0,22.300000000000004,1176
57.0,26.900000000000002,1233
15.0,25.099999999999998,1248
73.0,31.6,1321
11.0,30.600000000000005,1332
17.0,29.800000000000004,1349
14.0,30.3,1363
14.0,29.8,1377
23.0,30.5,1400
43.0,29.6,1443
44.0,31.1,1487
16.0,27.000000000000007,1503
23.0,27.800000000000008,1526
10.0,21.500000000000004,1536
14.0,21.8,1550
16.0,21.7,1566
18.0,22.1,1584
23.0,23.000000000000004,1607
35.0,24.200000000000003,1642
18.0,21.700000000000003,1660
25.0,19.8,1685
43.0,22.500000000000004,1728
44.0,24.6,1772
12.0,24.8,1784
18.0,25.200000000000003,1802
32.0,26.8,1834
11.0,26.100000000000005,1845
34.0,27.200000000000003,1879
19.0,25.6,1898
15.0,25.299999999999997,1913
18.0,24.599999999999998,1931
21.0,22.400000000000002,1952
33.0,21.300000000000004,1985
19.0,22.0,2004
10.0,21.2,2014
17.0,19.7,2031
11.0,19.700000000000003,2042
12.0,17.500000000000004,2054
20.0,17.6,2074
43.0,20.400000000000002,2117
24.0,21.0,2141
16.0,20.5,2157
22.0,19.400000000000002,2179
13.0,18.8,2192
13.0,19.1,2205
22.0,19.6,2227
45.0,23.0,2272
30.0,24.8,2302
14.0,24.2,2316
25.0,22.4,2341
12.0,21.2,2353
25.0,22.099999999999998,2378
20.0,21.900000000000002,2398
11.0,21.700000000000003,2409
36.0,24.000000000000004,2445
27.0,24.500000000000004,2472
20.0,22.0,2492
26.0,21.6,2518
18.0,22.0,2536
17.0,21.200000000000003,2553
19.0,21.9,2572
15.0,20.9,2587
34.0,22.299999999999997,2621
16.0,22.800000000000004,2637
16.0,20.800000000000004,2653
29.0,21.0,2682
18.0,20.8,2700
18.0,20.0,2718
16.0,19.8,2734
16.0,19.700000000000003,2750
22.0,20.000000000000004,2772
21.0,20.6,2793
24.0,19.6,2817
14.0,19.4,2831
12.0,18.999999999999996,2843
14.0,17.5,2857
14.0,17.1,2871
18.0,17.1,2889
28.0,18.300000000000004,2917
29.0,19.6,2946
13.0,18.700000000000003,2959
29.0,19.5,2988
19.0,19.0,3007
25.0,20.1,3032
26.0,21.500000000000004,3058
19.0,22.0,3077
15.0,22.1,3092
13.0,21.6,3105
21.0,20.900000000000002,3126
25.0,20.500000000000004,3151
12.0,20.400000000000002,3163
19.0,19.4,3182
28.0,20.3,3210
44.0,22.200000000000003,3254
17.0,21.3,3271
13.0,20.700000000000003,3284
27.0,21.900000000000002,3311
30.0,23.6,3341
23.0,23.8,3364
11.0,22.400000000000002,3375
22.0,23.400000000000002,3397
24.0,23.900000000000006,3421
17.0,22.8,3438
31.0,21.500000000000004,3469
14.0,21.200000000000003,3483
12.0,21.1,3495
24.0,20.800000000000004,3519
23.0,20.099999999999998,3542
10.0,18.8,3552
26.0,20.3,3578
15.0,19.6,3593
11.0,18.300000000000004,3604
16.0,18.200000000000003,3620
