Episode_Return,Episode_Return_smooth,env_step
17.0,21.1,211
49.0,22.300000000000004,260
47.0,23.8,307
25.0,23.999999999999996,332
22.0,24.8,354
20.0,24.7,374
23.0,25.7,397
13.0,25.5,410
18.0,25.400000000000002,428
33.0,26.700000000000003,461
9.0,25.900000000000002,470
52.0,26.2,522
22.0,23.7,544
36.0,24.8,580
13.0,23.900000000000002,593
29.0,24.800000000000004,622
16.0,24.1,638
14.0,24.200000000000003,652
33.0,25.7,685
18.0,24.200000000000003,703
11.0,24.400000000000002,714
69.0,26.1,783
10.0,24.900000000000006,793
15.0,22.800000000000004,808
13.0,22.8,821
14.0,21.3,835
13.0,21.0,848
33.0,22.900000000000002,881
12.0,20.8,893
28.0,21.8,921
14.0,22.1,935
16.0,16.8,951
14.0,17.2,965
19.0,17.6,984
33.0,19.6,1017
12.0,19.400000000000002,1029
12.0,19.3,1041
23.0,18.3,1064
21.0,19.200000000000003,1085
44.0,20.800000000000004,1129
19.0,21.3,1148
14.0,21.099999999999998,1162
20.0,21.699999999999996,1182
32.0,22.999999999999996,1214
21.0,21.8,1235
17.0,22.3,1252
15.0,22.6,1267
17.0,22.0,1284
22.0,22.1,1306
28.0,20.5,1334
13.0,19.900000000000002,1347
31.0,21.6,1378
16.0,21.200000000000003,1394
16.0,19.600000000000005,1410
87.0,26.200000000000003,1497
27.0,27.2,1524
15.0,27.2,1539
15.0,27.0,1554
45.0,29.3,1599
10.0,27.5,1609
15.0,27.700000000000003,1624
16.0,26.200000000000003,1640
43.0,28.900000000000002,1683
34.0,30.700000000000003,1717
28.0,24.8,1745
10.0,23.099999999999998,1755
14.0,22.999999999999996,1769
21.0,23.599999999999998,1790
33.0,22.400000000000002,1823
17.0,23.1,1840
15.0,23.1,1855
15.0,23.0,1870
16.0,20.300000000000004,1886
19.0,18.8,1905
13.0,17.3,1918
50.0,21.3,1968
45.0,24.400000000000002,2013
13.0,23.6,2026
15.0,21.8,2041
67.0,26.8,2108
10.0,26.3,2118
17.0,26.5,2135
18.0,26.7,2153
15.0,26.3,2168
19.0,26.9,2187
17.0,23.599999999999998,2204
9.0,19.999999999999996,2213
67.0,25.399999999999995,2280
20.0,25.9,2300
15.0,20.700000000000003,2315
10.0,20.700000000000003,2325
36.0,22.6,2361
16.0,22.400000000000006,2377
18.0,22.700000000000003,2395
23.0,23.100000000000005,2418
14.0,22.8,2432
17.0,23.599999999999998,2449
41.0,21.000000000000004,2490
11.0,20.100000000000005,2501
12.0,19.8,2513
17.0,20.500000000000004,2530
14.0,18.3,2544
43.0,21.0,2587
15.0,20.7,2602
54.0,23.799999999999997,2656
12.0,23.599999999999998,2668
16.0,23.500000000000004,2684
17.0,21.1,2701
28.0,22.800000000000004,2729
13.0,22.900000000000002,2742
15.0,22.700000000000003,2757
50.0,26.3,2807
26.0,24.600000000000005,2833
27.0,25.800000000000004,2860
24.0,22.800000000000004,2884
21.0,23.700000000000003,2905
26.0,24.700000000000003,2931
16.0,24.60000000000001,2947
11.0,22.900000000000006,2958
19.0,23.500000000000004,2977
22.0,24.200000000000003,2999
34.0,22.6,3033
22.0,22.2,3055
13.0,20.799999999999997,3068
47.0,23.1,3115
17.0,22.700000000000003,3132
22.0,22.3,3154
14.0,22.099999999999998,3168
36.0,24.6,3204
19.0,24.599999999999998,3223
19.0,24.299999999999997,3242
16.0,22.499999999999996,3258
26.0,22.900000000000002,3284
25.0,24.100000000000005,3309
21.0,21.500000000000004,3330
23.0,22.100000000000005,3353
23.0,22.200000000000003,3376
21.0,22.900000000000002,3397
16.0,20.900000000000002,3413
44.0,23.400000000000006,3457
29.0,24.4,3486
33.0,26.099999999999998,3519
11.0,24.600000000000005,3530
34.0,25.500000000000007,3564
24.0,25.800000000000004,3588
35.0,27.0,3623
23.0,27.000000000000004,3646
32.0,28.1,3678
19.0,28.4,3697
24.0,26.4,3721
17.0,25.2,3738
11.0,23.000000000000004,3749
18.0,23.700000000000003,3767
25.0,22.800000000000004,3792
25.0,22.900000000000002,3817
18.0,21.2,3835
10.0,19.900000000000002,3845
10.0,17.700000000000003,3855
20.0,17.8,3875
27.0,18.1,3902
19.0,18.3,3921
19.0,19.099999999999998,3940
24.0,19.700000000000003,3964
40.0,21.200000000000003,4004
12.0,19.900000000000002,4016
12.0,19.299999999999997,4028
42.0,22.5,4070
16.0,23.1,4086
46.0,25.700000000000003,4132
22.0,25.200000000000003,4154
48.0,28.1,4202
26.0,28.8,4228
15.0,27.900000000000002,4243
44.0,28.300000000000004,4287
20.0,29.1,4307
40.0,31.900000000000006,4347
22.0,29.900000000000002,4369
13.0,29.6,4382
15.0,26.5,4397
15.0,25.8,4412
20.0,23.0,4432
49.0,25.300000000000004,4481
49.0,28.700000000000003,4530
18.0,26.099999999999998,4548
18.0,25.9,4566
19.0,23.8,4585
12.0,22.8,4597
25.0,24.0,4622
22.0,24.7,4644
35.0,26.7,4679
17.0,26.400000000000002,4696
33.0,24.8,4729
15.0,21.4,4744
10.0,20.6,4754
64.0,25.200000000000003,4818
26.0,25.900000000000006,4844
12.0,25.900000000000002,4856
31.0,26.500000000000004,4887
15.0,25.8,4902
19.0,24.2,4921
24.0,24.9,4945
27.0,24.299999999999994,4972
23.0,25.1,4995
13.0,25.400000000000002,5008
34.0,22.400000000000006,5042
43.0,24.100000000000005,5085
23.0,25.200000000000003,5108
20.0,24.1,5128
16.0,24.200000000000003,5144
13.0,23.600000000000005,5157
17.0,22.900000000000002,5174
15.0,21.700000000000003,5189
29.0,22.299999999999997,5218
18.0,22.8,5236
11.0,20.500000000000004,5247
10.0,17.200000000000003,5257
14.0,16.3,5271
