Episode_Return,env_step
32.0,32
12.0,44
19.0,63
13.0,76
26.0,102
51.0,153
21.0,174
18.0,192
14.0,206
13.0,219
10.0,229
23.0,252
22.0,274
17.0,291
19.0,310
34.0,344
17.0,361
19.0,380
45.0,425
29.0,454
54.0,508
93.0,601
16.0,617
17.0,634
12.0,646
25.0,671
22.0,693
24.0,717
22.0,739
13.0,752
31.0,783
19.0,802
15.0,817
18.0,835
18.0,853
20.0,873
15.0,888
15.0,903
34.0,937
22.0,959
21.0,980
43.0,1023
10.0,1033
20.0,1053
20.0,1073
11.0,1084
20.0,1104
13.0,1117
14.0,1131
24.0,1155
24.0,1179
28.0,1207
12.0,1219
18.0,1237
25.0,1262
12.0,1274
13.0,1287
10.0,1297
12.0,1309
19.0,1328
22.0,1350
10.0,1360
20.0,1380
16.0,1396
16.0,1412
20.0,1432
43.0,1475
59.0,1534
40.0,1574
23.0,1597
21.0,1618
21.0,1639
14.0,1653
26.0,1679
19.0,1698
13.0,1711
21.0,1732
19.0,1751
31.0,1782
26.0,1808
13.0,1821
29.0,1850
25.0,1875
27.0,1902
12.0,1914
16.0,1930
11.0,1941
13.0,1954
24.0,1978
14.0,1992
16.0,2008
19.0,2027
25.0,2052
16.0,2068
14.0,2082
20.0,2102
14.0,2116
11.0,2127
23.0,2150
14.0,2164
21.0,2185
15.0,2200
19.0,2219
16.0,2235
27.0,2262
29.0,2291
19.0,2310
10.0,2320
17.0,2337
11.0,2348
20.0,2368
15.0,2383
17.0,2400
21.0,2421
22.0,2443
23.0,2466
12.0,2478
22.0,2500
12.0,2512
35.0,2547
27.0,2574
10.0,2584
57.0,2641
23.0,2664
11.0,2675
16.0,2691
18.0,2709
20.0,2729
23.0,2752
19.0,2771
17.0,2788
14.0,2802
23.0,2825
14.0,2839
17.0,2856
37.0,2893
18.0,2911
18.0,2929
34.0,2963
12.0,2975
17.0,2992
14.0,3006
20.0,3026
28.0,3054
12.0,3066
42.0,3108
17.0,3125
20.0,3145
42.0,3187
14.0,3201
15.0,3216
12.0,3228
34.0,3262
14.0,3276
13.0,3289
21.0,3310
13.0,3323
14.0,3337
16.0,3353
28.0,3381
13.0,3394
18.0,3412
37.0,3449
45.0,3494
29.0,3523
13.0,3536
15.0,3551
54.0,3605
29.0,3634
42.0,3676
12.0,3688
17.0,3705
31.0,3736
13.0,3749
25.0,3774
53.0,3827
12.0,3839
11.0,3850
14.0,3864
19.0,3883
14.0,3897
21.0,3918
21.0,3939
20.0,3959
13.0,3972
10.0,3982
14.0,3996
32.0,4028
