Episode_Return,Episode_Return_smooth,env_step
42.0,23.700000000000003,237
24.0,23.1,261
26.0,23.700000000000003,287
44.0,26.2,331
24.0,26.6,355
58.0,30.5,413
30.0,32.2,443
28.0,32.6,471
23.0,31.200000000000003,494
20.0,31.900000000000002,514
12.0,28.900000000000002,526
10.0,27.500000000000004,536
13.0,26.200000000000003,549
22.0,24.0,571
15.0,23.1,586
17.0,19.0,603
16.0,17.6,619
17.0,16.5,636
14.0,15.6,650
13.0,14.9,663
12.0,14.9,675
24.0,16.3,699
18.0,16.8,717
29.0,17.5,746
13.0,17.3,759
16.0,17.200000000000003,775
38.0,19.400000000000002,813
36.0,21.300000000000004,849
34.0,23.3,883
18.0,23.8,901
21.0,24.700000000000003,922
20.0,24.3,942
18.0,24.300000000000004,960
10.0,22.400000000000002,970
21.0,23.200000000000003,991
11.0,22.700000000000006,1002
18.0,20.700000000000003,1020
15.0,18.6,1035
19.0,17.1,1054
13.0,16.6,1067
15.0,16.000000000000004,1082
11.0,15.100000000000001,1093
41.0,17.400000000000002,1134
14.0,17.8,1148
13.0,17.0,1161
52.0,21.1,1213
16.0,20.900000000000002,1229
13.0,20.700000000000003,1242
31.0,21.900000000000006,1273
27.0,23.300000000000004,1300
17.0,23.5,1317
15.0,23.900000000000002,1332
32.0,23.0,1364
15.0,23.099999999999998,1379
48.0,26.6,1427
17.0,23.1,1444
12.0,22.7,1456
17.0,23.099999999999998,1473
24.0,22.4,1497
23.0,22.0,1520
35.0,23.799999999999997,1555
37.0,25.999999999999996,1592
26.0,25.400000000000002,1618
13.0,25.200000000000003,1631
21.0,22.500000000000004,1652
64.0,27.200000000000003,1716
18.0,27.800000000000008,1734
28.0,28.900000000000006,1762
31.0,29.600000000000005,1793
12.0,28.500000000000004,1805
11.0,26.100000000000005,1816
17.0,24.100000000000005,1833
15.0,23.000000000000004,1848
21.0,23.800000000000004,1869
27.0,24.400000000000002,1896
11.0,19.1,1907
13.0,18.6,1920
26.0,18.4,1946
18.0,17.1,1964
51.0,21.000000000000004,2015
16.0,21.500000000000004,2031
27.0,22.5,2058
14.0,22.4,2072
10.0,21.3,2082
37.0,22.299999999999997,2119
20.0,23.2,2139
34.0,25.299999999999997,2173
28.0,25.5,2201
16.0,25.300000000000004,2217
15.0,21.700000000000003,2232
13.0,21.400000000000002,2245
13.0,20.000000000000004,2258
23.0,20.900000000000002,2281
10.0,20.900000000000002,2291
38.0,21.000000000000004,2329
25.0,21.500000000000004,2354
12.0,19.3,2366
12.0,17.7,2378
12.0,17.3,2390
17.0,17.5,2407
71.0,23.3,2478
11.0,23.1,2489
21.0,22.900000000000002,2510
18.0,23.700000000000003,2528
20.0,21.900000000000002,2548
26.0,22.0,2574
