Episode_Return,Episode_Return_smooth,env_step
34.0,24.2,242
40.0,23.4,282
26.0,24.3,308
32.0,23.3,340
45.0,26.700000000000003,385
22.0,26.5,407
23.0,27.0,430
19.0,26.9,449
49.0,30.7,498
17.0,30.699999999999996,515
52.0,32.5,567
25.0,30.999999999999996,592
17.0,30.099999999999998,609
17.0,28.599999999999998,626
19.0,25.999999999999996,645
15.0,25.299999999999997,660
45.0,27.5,705
11.0,26.7,716
25.0,24.3,741
14.0,24.0,755
16.0,20.400000000000002,771
15.0,19.400000000000002,786
18.0,19.500000000000004,804
15.0,19.3,819
18.0,19.200000000000003,837
18.0,19.5,855
33.0,18.3,888
27.0,19.900000000000002,915
18.0,19.200000000000003,933
15.0,19.300000000000004,948
30.0,20.7,978
16.0,20.800000000000004,994
19.0,20.900000000000002,1013
56.0,25.0,1069
20.0,25.200000000000003,1089
15.0,24.900000000000002,1104
29.0,24.5,1133
36.0,25.400000000000002,1169
67.0,30.3,1236
20.0,30.8,1256
21.0,29.900000000000002,1277
9.0,29.2,1286
15.0,28.8,1301
14.0,24.599999999999998,1315
10.0,23.6,1325
22.0,24.299999999999997,1347
14.0,22.799999999999997,1361
15.0,20.7,1376
11.0,15.100000000000001,1387
12.0,14.299999999999999,1399
18.0,14.0,1417
15.0,14.6,1432
13.0,14.400000000000002,1445
18.0,14.800000000000002,1463
18.0,15.600000000000003,1481
14.0,14.800000000000002,1495
11.0,14.500000000000002,1506
31.0,16.1,1537
21.0,17.1,1558
10.0,16.900000000000002,1568
11.0,16.2,1579
43.0,19.0,1622
35.0,21.2,1657
54.0,24.8,1711
10.0,24.0,1721
27.0,25.3,1748
27.0,26.9,1775
47.0,28.499999999999996,1822
18.0,28.2,1840
10.0,28.2,1850
8.0,27.9,1858
36.0,27.200000000000003,1894
18.0,25.500000000000004,1912
19.0,22.000000000000004,1931
16.0,22.600000000000005,1947
55.0,25.400000000000002,2002
29.0,25.6,2031
63.0,27.200000000000003,2094
15.0,26.9,2109
24.0,28.299999999999997,2133
19.0,29.4,2152
42.0,29.999999999999996,2194
