Episode_Return,Episode_Return_smooth,env_step
11.0,20.9,209
10.0,19.500000000000004,219
17.0,19.400000000000002,236
23.0,16.900000000000002,259
11.0,16.800000000000004,270
18.0,17.6,288
30.0,18.200000000000003,318
35.0,18.6,353
16.0,18.800000000000004,369
13.0,18.400000000000002,382
12.0,18.499999999999996,394
12.0,18.699999999999996,406
11.0,18.1,417
10.0,16.799999999999997,427
22.0,17.900000000000002,449
14.0,17.5,463
11.0,15.600000000000001,474
38.0,15.900000000000002,512
18.0,16.1,530
21.0,16.900000000000002,551
30.0,18.700000000000003,581
20.0,19.5,601
19.0,20.3,620
15.0,20.8,635
10.0,19.6,645
29.0,21.1,674
21.0,22.1,695
14.0,19.700000000000003,709
18.0,19.7,727
46.0,22.200000000000003,773
11.0,20.300000000000004,784
16.0,19.900000000000006,800
14.0,19.400000000000002,814
28.0,20.7,842
13.0,21.0,855
10.0,19.1,865
24.0,19.4,889
13.0,19.3,902
16.0,19.100000000000005,918
37.0,18.200000000000003,955
16.0,18.700000000000003,971
25.0,19.6,996
10.0,19.200000000000003,1006
11.0,17.5,1017
13.0,17.5,1030
81.0,24.6,1111
12.0,23.400000000000002,1123
21.0,24.2,1144
18.0,24.400000000000002,1162
14.0,22.099999999999998,1176
34.0,23.9,1210
23.0,23.7,1233
53.0,28.0,1286
41.0,31.000000000000007,1327
22.0,31.900000000000002,1349
18.0,25.600000000000005,1367
16.0,26.000000000000007,1383
24.0,26.300000000000004,1407
14.0,25.900000000000006,1421
22.0,26.7,1443
18.0,25.1,1461
10.0,23.8,1471
13.0,19.800000000000004,1484
26.0,18.300000000000004,1510
14.0,17.500000000000004,1524
16.0,17.3,1540
10.0,16.700000000000003,1550
16.0,15.9,1566
37.0,18.2,1603
13.0,17.3,1616
28.0,18.3,1644
12.0,18.5,1656
18.0,19.0,1674
27.0,19.1,1701
22.0,19.900000000000002,1723
13.0,19.6,1736
38.0,22.400000000000002,1774
13.0,22.1,1787
13.0,19.700000000000003,1800
35.0,21.900000000000002,1835
17.0,20.8,1852
14.0,21.0,1866
17.0,20.9,1883
9.0,19.099999999999998,1892
18.0,18.7,1910
11.0,18.500000000000004,1921
28.0,17.5,1949
17.0,17.900000000000002,1966
11.0,17.700000000000003,1977
49.0,19.1,2026
26.0,20.000000000000004,2052
18.0,20.400000000000002,2070
12.0,19.900000000000002,2082
22.0,21.200000000000003,2104
12.0,20.599999999999998,2116
13.0,20.8,2129
17.0,19.7,2146
25.0,20.5,2171
51.0,24.5,2222
14.0,21.0,2236
17.0,20.099999999999998,2253
20.0,20.3,2273
16.0,20.700000000000003,2289
18.0,20.300000000000004,2307
16.0,20.700000000000006,2323
35.0,22.900000000000006,2358
19.0,23.099999999999998,2377
19.0,22.5,2396
12.0,18.6,2408
32.0,20.4,2440
26.0,21.3,2466
39.0,23.200000000000003,2505
11.0,22.700000000000003,2516
19.0,22.8,2535
19.0,23.099999999999998,2554
13.0,20.9,2567
15.0,20.5,2582
16.0,20.200000000000003,2598
18.0,20.800000000000004,2616
15.0,19.1,2631
29.0,19.4,2660
13.0,16.8,2673
14.0,17.1,2687
12.0,16.400000000000002,2699
12.0,15.700000000000003,2711
18.0,16.200000000000003,2729
17.0,16.400000000000002,2746
20.0,16.8,2766
38.0,18.8,2804
29.0,20.200000000000003,2833
18.0,19.100000000000005,2851
24.0,20.200000000000003,2875
24.0,21.200000000000003,2899
25.0,22.5,2924
38.0,25.100000000000005,2962
38.0,27.1,3000
14.0,26.800000000000004,3014
30.0,27.8,3044
23.0,26.3,3067
19.0,25.3,3086
13.0,24.8,3099
49.0,27.300000000000004,3148
24.0,27.299999999999997,3172
28.0,27.599999999999998,3200
22.0,26.0,3222
25.0,24.700000000000003,3247
53.0,28.6,3300
23.0,27.900000000000002,3323
33.0,28.900000000000006,3356
12.0,28.200000000000003,3368
12.0,28.1,3380
52.0,28.400000000000002,3432
15.0,27.5,3447
29.0,27.6,3476
16.0,27.0,3492
63.0,30.8,3555
15.0,27.000000000000004,3570
18.0,26.500000000000004,3588
21.0,25.300000000000004,3609
24.0,26.500000000000007,3633
26.0,27.900000000000006,3659
32.0,25.900000000000002,3691
14.0,25.8,3705
14.0,24.299999999999997,3719
19.0,24.599999999999998,3738
64.0,24.700000000000003,3802
22.0,25.400000000000002,3824
25.0,26.1,3849
29.0,26.9,3878
38.0,28.3,3916
16.0,27.3,3932
10.0,25.100000000000005,3942
23.0,26.000000000000007,3965
13.0,25.900000000000002,3978
17.0,25.700000000000003,3995
21.0,21.400000000000002,4016
73.0,26.500000000000004,4089
64.0,30.400000000000006,4153
20.0,29.5,4173
15.0,27.200000000000003,4188
12.0,26.8,4200
57.0,31.5,4257
10.0,30.2,4267
30.0,31.9,4297
25.0,32.7,4322
22.0,32.800000000000004,4344
13.0,26.8,4357
23.0,22.7,4380
19.0,22.6,4399
11.0,22.200000000000003,4410
16.0,22.6,4426
25.0,19.400000000000002,4451
23.0,20.7,4474
11.0,18.8,4485
31.0,19.400000000000002,4516
24.0,19.6,4540
103.0,28.6,4643
41.0,30.400000000000002,4684
27.0,31.2,4711
18.0,31.900000000000002,4729
13.0,31.600000000000005,4742
53.0,34.400000000000006,4795
32.0,35.30000000000001,4827
10.0,35.2,4837
16.0,33.7,4853
15.0,32.800000000000004,4868
14.0,23.900000000000002,4882
14.0,21.2,4896
25.0,21.0,4921
33.0,22.5,4954
14.0,22.599999999999998,4968
12.0,18.5,4980
10.0,16.3,4990
13.0,16.6,5003
14.0,16.400000000000002,5017
