Episode_Return,Episode_Return_smooth,env_step
17.0,19.8,198
29.0,21.800000000000004,227
14.0,19.700000000000003,241
11.0,19.300000000000004,252
12.0,19.400000000000002,264
50.0,22.1,314
31.0,23.500000000000004,345
13.0,23.500000000000004,358
20.0,23.800000000000004,378
50.0,24.700000000000003,428
11.0,24.1,439
25.0,23.700000000000003,464
24.0,24.700000000000003,488
45.0,28.1,533
24.0,29.299999999999997,557
11.0,25.4,568
10.0,23.300000000000004,578
34.0,25.4,612
32.0,26.599999999999998,644
20.0,23.599999999999998,664
20.0,24.5,684
45.0,26.5,729
31.0,27.200000000000003,760
15.0,24.200000000000003,775
17.0,23.5,792
18.0,24.200000000000003,810
17.0,24.900000000000002,827
14.0,22.899999999999995,841
30.0,22.7,871
22.0,22.9,893
17.0,22.6,910
16.0,19.700000000000003,926
45.0,21.1,971
10.0,20.6,981
12.0,20.099999999999998,993
15.0,19.8,1008
71.0,25.200000000000003,1079
16.0,25.400000000000002,1095
34.0,25.800000000000004,1129
13.0,24.900000000000002,1142
13.0,24.500000000000007,1155
13.0,24.200000000000006,1168
14.0,21.1,1182
16.0,21.700000000000003,1198
26.0,23.100000000000005,1224
48.0,26.400000000000006,1272
28.0,22.1,1300
17.0,22.2,1317
23.0,21.1,1340
12.0,21.0,1352
26.0,22.300000000000004,1378
12.0,22.200000000000003,1390
11.0,21.900000000000002,1401
29.0,23.200000000000003,1430
18.0,22.400000000000002,1448
26.0,20.200000000000003,1474
21.0,19.500000000000004,1495
18.0,19.6,1513
26.0,19.900000000000002,1539
22.0,20.900000000000002,1561
11.0,19.400000000000002,1572
46.0,22.800000000000004,1618
25.0,24.200000000000003,1643
10.0,22.3,1653
34.0,23.9,1687
18.0,23.099999999999998,1705
10.0,22.000000000000004,1715
12.0,21.4,1727
23.0,21.1,1750
16.0,20.500000000000004,1766
16.0,21.000000000000007,1782
19.0,18.3,1801
16.0,17.400000000000002,1817
29.0,19.300000000000004,1846
12.0,17.1,1858
14.0,16.7,1872
19.0,17.6,1891
15.0,17.900000000000002,1906
32.0,18.8,1938
28.0,20.0,1966
12.0,19.6,1978
15.0,19.2,1993
12.0,18.8,2005
17.0,17.6,2022
20.0,18.4,2042
27.0,19.7,2069
23.0,20.099999999999998,2092
44.0,23.0,2136
51.0,24.900000000000006,2187
25.0,24.6,2212
26.0,26.000000000000004,2238
19.0,26.400000000000002,2257
13.0,26.500000000000004,2270
39.0,28.700000000000003,2309
22.0,28.900000000000002,2331
21.0,28.3,2352
24.0,28.400000000000006,2376
55.0,29.500000000000007,2431
16.0,26.000000000000007,2447
13.0,24.8,2460
13.0,23.500000000000004,2473
27.0,24.3,2500
18.0,24.800000000000004,2518
31.0,24.000000000000004,2549
10.0,22.800000000000004,2559
20.0,22.700000000000003,2579
11.0,21.400000000000006,2590
14.0,17.3,2604
25.0,18.200000000000003,2629
12.0,18.099999999999998,2641
23.0,19.1,2664
78.0,24.200000000000003,2742
22.0,24.6,2764
18.0,23.3,2782
16.0,23.900000000000002,2798
18.0,23.700000000000003,2816
27.0,25.300000000000004,2843
16.0,25.500000000000004,2859
17.0,24.700000000000003,2876
14.0,24.9,2890
25.0,25.1,2915
60.0,23.299999999999997,2975
15.0,22.6,2990
11.0,21.900000000000006,3001
22.0,22.5,3023
23.0,23.000000000000004,3046
37.0,24.0,3083
28.0,25.200000000000003,3111
16.0,25.1,3127
13.0,25.000000000000004,3140
14.0,23.900000000000002,3154
39.0,21.799999999999997,3193
23.0,22.600000000000005,3216
67.0,28.200000000000003,3283
20.0,28.0,3303
21.0,27.8,3324
20.0,26.1,3344
41.0,27.400000000000006,3385
25.0,28.300000000000004,3410
17.0,28.700000000000003,3427
24.0,29.700000000000003,3451
25.0,28.299999999999997,3476
18.0,27.8,3494
26.0,23.7,3520
14.0,23.099999999999998,3534
13.0,22.3,3547
14.0,21.7,3561
14.0,19.0,3575
15.0,18.0,3590
25.0,18.800000000000004,3615
21.0,18.500000000000004,3636
26.0,18.6,3662
11.0,17.900000000000002,3673
11.0,16.4,3684
31.0,18.1,3715
12.0,18.0,3727
10.0,17.599999999999998,3737
14.0,17.599999999999998,3751
22.0,18.299999999999997,3773
16.0,17.400000000000002,3789
15.0,16.800000000000004,3804
35.0,17.700000000000003,3839
18.0,18.400000000000002,3857
14.0,18.7,3871
15.0,17.1,3886
12.0,17.1,3898
17.0,17.8,3915
17.0,18.1,3932
11.0,17.0,3943
20.0,17.4,3963
18.0,17.699999999999996,3981
22.0,16.400000000000002,4003
20.0,16.6,4023
23.0,17.500000000000004,4046
19.0,17.900000000000002,4065
11.0,17.8,4076
38.0,19.900000000000002,4114
13.0,19.500000000000004,4127
18.0,20.200000000000003,4145
13.0,19.500000000000004,4158
35.0,21.200000000000003,4193
13.0,20.300000000000004,4206
12.0,19.500000000000004,4218
15.0,18.700000000000003,4233
26.0,19.400000000000002,4259
17.0,20.000000000000004,4276
22.0,18.400000000000002,4298
15.0,18.599999999999998,4313
19.0,18.7,4332
65.0,23.9,4397
32.0,23.599999999999998,4429
12.0,23.5,4441
54.0,27.699999999999996,4495
13.0,27.499999999999996,4508
45.0,29.400000000000002,4553
20.0,29.7,4573
13.0,28.800000000000004,4586
15.0,28.800000000000004,4601
46.0,31.5,4647
20.0,27.000000000000004,4667
26.0,26.400000000000006,4693
29.0,28.1,4722
16.0,24.300000000000004,4738
28.0,25.800000000000008,4766
16.0,22.900000000000002,4782
15.0,22.400000000000002,4797
23.0,23.400000000000002,4820
24.0,24.300000000000004,4844
17.0,21.400000000000002,4861
19.0,21.3,4880
26.0,21.3,4906
12.0,19.6,4918
21.0,20.1,4939
34.0,20.700000000000003,4973
19.0,21.0,4992
12.0,20.7,5004
30.0,21.4,5034
20.0,21.000000000000004,5054
8.0,20.1,5062
18.0,20.000000000000004,5080
55.0,22.900000000000002,5135
11.0,22.800000000000004,5146
25.0,23.200000000000003,5171
13.0,21.100000000000005,5184
21.0,21.3,5205
95.0,29.6,5300
13.0,27.900000000000002,5313
12.0,27.1,5325
18.0,28.1,5343
22.0,28.5,5365
19.0,24.9,5384
45.0,28.299999999999997,5429
20.0,27.8,5449
14.0,27.9,5463
18.0,27.599999999999998,5481
13.0,19.400000000000002,5494
29.0,21.0,5523
20.0,21.800000000000004,5543
31.0,23.100000000000005,5574
27.0,23.600000000000005,5601
23.0,24.000000000000004,5624
9.0,20.4,5633
26.0,21.0,5659
11.0,20.700000000000003,5670
22.0,21.1,5692
12.0,21.0,5704
36.0,21.7,5740
37.0,23.400000000000002,5777
15.0,21.8,5792
15.0,20.6,5807
14.0,19.7,5821
37.0,22.5,5858
19.0,21.799999999999997,5877
22.0,22.9,5899
19.0,22.599999999999998,5918
38.0,25.2,5956
14.0,23.0,5970
17.0,21.0,5987
19.0,21.399999999999995,6006
14.0,21.299999999999997,6020
19.0,21.799999999999997,6039
24.0,20.5,6063
21.0,20.700000000000003,6084
15.0,20.000000000000004,6099
17.0,19.8,6116
24.0,18.4,6140
28.0,19.8,6168
42.0,22.3,6210
29.0,23.299999999999997,6239
21.0,24.000000000000007,6260
54.0,27.5,6314
14.0,26.5,6328
48.0,29.2,6376
21.0,29.8,6397
17.0,29.800000000000004,6414
12.0,28.599999999999998,6426
12.0,27.0,6438
37.0,26.5,6475
27.0,26.299999999999997,6502
51.0,29.3,6553
15.0,25.4,6568
16.0,25.6,6584
18.0,22.600000000000005,6602
11.0,21.600000000000005,6613
12.0,21.100000000000005,6625
32.0,23.1,6657
21.0,24.0,6678
14.0,21.7,6692
18.0,20.8,6710
12.0,16.900000000000002,6722
21.0,17.500000000000004,6743
16.0,17.5,6759
25.0,18.2,6784
16.0,18.700000000000003,6800
25.0,20.000000000000004,6825
13.0,18.099999999999998,6838
27.0,18.7,6865
24.0,19.700000000000003,6889
27.0,20.599999999999998,6916
22.0,21.6,6938
24.0,21.9,6962
18.0,22.099999999999998,6980
9.0,20.499999999999996,6989
25.0,21.400000000000002,7014
38.0,22.700000000000003,7052
25.0,23.900000000000002,7077
15.0,22.700000000000003,7092
11.0,21.400000000000002,7103
13.0,20.000000000000004,7116
66.0,24.400000000000002,7182
14.0,23.4,7196
20.0,23.599999999999998,7216
26.0,25.3,7242
14.0,24.2,7256
18.0,22.2,7274
21.0,21.8,7295
10.0,21.3,7305
36.0,23.800000000000004,7341
13.0,23.800000000000004,7354
24.0,19.6,7378
34.0,21.6,7412
20.0,21.6,7432
23.0,21.3,7455
15.0,21.400000000000002,7470
12.0,20.8,7482
40.0,22.7,7522
26.0,24.3,7548
28.0,23.500000000000004,7576
19.0,24.1,7595
11.0,22.800000000000004,7606
