Episode_Return,Episode_Return_smooth,env_step
47.0,22.299999999999997,223
40.0,25.2,263
22.0,25.8,285
14.0,25.4,299
12.0,25.2,311
15.0,23.6,326
48.0,26.3,374
18.0,26.5,392
17.0,26.6,409
14.0,24.7,423
26.0,22.6,449
11.0,19.700000000000003,460
16.0,19.100000000000005,476
28.0,20.500000000000004,504
14.0,20.7,518
15.0,20.7,533
21.0,18.000000000000004,554
9.0,17.1,563
42.0,19.6,605
17.0,19.900000000000002,622
12.0,18.5,634
10.0,18.400000000000002,644
15.0,18.3,659
25.0,18.0,684
11.0,17.700000000000003,695
10.0,17.2,705
17.0,16.8,722
10.0,16.900000000000002,732
17.0,14.399999999999999,749
28.0,15.5,777
23.0,16.599999999999998,800
53.0,20.900000000000002,853
22.0,21.6,875
27.0,21.8,902
32.0,23.900000000000002,934
30.0,25.9,964
12.0,25.4,976
14.0,25.799999999999997,990
11.0,25.2,1001
40.0,26.4,1041
18.0,25.900000000000002,1059
24.0,23.0,1083
29.0,23.7,1112
40.0,25.0,1152
35.0,25.3,1187
16.0,23.900000000000002,1203
20.0,24.700000000000003,1223
17.0,25.000000000000004,1240
11.0,25.000000000000004,1251
29.0,23.900000000000002,1280
22.0,24.3,1302
24.0,24.299999999999997,1326
12.0,22.599999999999994,1338
39.0,22.499999999999996,1377
32.0,22.199999999999996,1409
18.0,22.4,1427
22.0,22.6,1449
23.0,23.2,1472
38.0,25.900000000000002,1510
28.0,25.800000000000004,1538
12.0,24.8,1550
11.0,23.500000000000004,1561
31.0,25.400000000000002,1592
13.0,22.800000000000004,1605
15.0,21.1,1620
18.0,21.1,1638
16.0,20.500000000000004,1654
20.0,20.200000000000003,1674
21.0,18.500000000000004,1695
11.0,16.8,1706
16.0,17.2,1722
43.0,20.400000000000002,1765
26.0,19.900000000000002,1791
28.0,21.400000000000002,1819
26.0,22.500000000000004,1845
40.0,24.700000000000003,1885
41.0,27.200000000000003,1926
10.0,26.200000000000003,1936
32.0,27.3,1968
13.0,27.500000000000004,1981
26.0,28.500000000000004,2007
22.0,26.400000000000002,2029
39.0,27.7,2068
14.0,26.3,2082
18.0,25.5,2100
25.0,24.0,2125
35.0,23.4,2160
15.0,23.900000000000002,2175
35.0,24.200000000000003,2210
24.0,25.3,2234
14.0,24.099999999999998,2248
28.0,24.7,2276
13.0,22.1,2289
11.0,21.800000000000004,2300
41.0,24.100000000000005,2341
20.0,23.600000000000005,2361
14.0,21.5,2375
12.0,21.2,2387
28.0,20.5,2415
47.0,22.799999999999997,2462
21.0,23.5,2483
48.0,25.500000000000004,2531
19.0,26.1,2550
14.0,26.400000000000002,2564
12.0,23.499999999999996,2576
12.0,22.699999999999996,2588
18.0,23.099999999999998,2606
17.0,23.599999999999998,2623
21.0,22.900000000000002,2644
11.0,19.300000000000004,2655
32.0,20.400000000000002,2687
19.0,17.499999999999996,2706
19.0,17.5,2725
24.0,18.5,2749
12.0,18.5,2761
15.0,18.8,2776
33.0,20.300000000000004,2809
27.0,21.3,2836
25.0,21.7,2861
24.0,23.0,2885
17.0,21.5,2902
11.0,20.7,2913
47.0,23.5,2960
12.0,22.299999999999997,2972
12.0,22.299999999999997,2984
16.0,22.4,3000
28.0,21.900000000000002,3028
18.0,21.0,3046
25.0,21.0,3071
15.0,20.1,3086
24.0,20.8,3110
34.0,23.1,3144
20.0,20.4,3164
12.0,20.4,3176
12.0,20.4,3188
23.0,21.1,3211
71.0,25.4,3282
23.0,25.900000000000002,3305
12.0,24.6,3317
51.0,28.200000000000003,3368
26.0,28.400000000000006,3394
23.0,27.300000000000004,3417
33.0,28.600000000000005,3450
34.0,30.800000000000004,3484
12.0,30.8,3496
13.0,29.8,3509
11.0,23.8,3520
33.0,24.800000000000004,3553
24.0,26.000000000000004,3577
28.0,23.7,3605
26.0,23.700000000000003,3631
24.0,23.8,3655
34.0,23.9,3689
37.0,24.2,3726
65.0,29.5,3791
12.0,29.4,3803
21.0,30.4,3824
13.0,28.400000000000002,3837
28.0,28.800000000000004,3865
35.0,29.500000000000004,3900
18.0,28.700000000000006,3918
50.0,31.300000000000004,3968
30.0,30.900000000000002,3998
15.0,28.700000000000003,4013
38.0,26.000000000000004,4051
11.0,25.900000000000006,4062
12.0,25.000000000000004,4074
47.0,28.400000000000002,4121
12.0,26.8,4133
30.0,26.3,4163
16.0,26.1,4179
24.0,23.5,4203
11.0,21.6,4214
16.0,21.700000000000003,4230
12.0,19.1,4242
22.0,20.2,4264
21.0,21.1,4285
14.0,17.799999999999997,4299
14.0,17.999999999999996,4313
32.0,18.2,4345
13.0,17.900000000000002,4358
25.0,18.000000000000004,4383
14.0,18.3,4397
18.0,18.5,4415
15.0,18.8,4430
15.0,18.100000000000005,4445
15.0,17.500000000000004,4460
25.0,18.6,4485
27.0,19.900000000000002,4512
16.0,18.3,4528
43.0,21.3,4571
24.0,21.2,4595
13.0,21.099999999999998,4608
29.0,22.2,4637
19.0,22.599999999999998,4656
29.0,23.999999999999996,4685
40.0,26.5,4725
70.0,31.0,4795
20.0,30.3,4815
22.0,30.900000000000002,4837
25.0,29.1,4862
19.0,28.599999999999998,4881
24.0,29.7,4905
47.0,31.499999999999996,4952
46.0,34.199999999999996,4998
55.0,36.8,5053
19.0,34.7,5072
38.0,31.5,5110
43.0,33.8,5153
22.0,33.800000000000004,5175
16.0,32.9,5191
12.0,32.2,5203
17.0,31.5,5220
19.0,28.7,5239
21.0,26.200000000000003,5260
15.0,22.2,5275
14.0,21.699999999999996,5289
61.0,24.0,5350
13.0,21.0,5363
24.0,21.2,5387
32.0,22.8,5419
17.0,23.299999999999997,5436
13.0,22.9,5449
17.0,22.7,5466
23.0,22.900000000000002,5489
18.0,23.200000000000003,5507
49.0,26.7,5556
10.0,21.6,5566
14.0,21.7,5580
14.0,20.7,5594
16.0,19.1,5610
14.0,18.8,5624
11.0,18.6,5635
26.0,19.500000000000004,5661
9.0,18.099999999999998,5670
10.0,17.3,5680
16.0,14.0,5696
26.0,15.6,5722
13.0,15.5,5735
14.0,15.500000000000002,5749
17.0,15.600000000000001,5766
20.0,16.200000000000003,5786
13.0,16.4,5799
17.0,15.5,5816
10.0,15.6,5826
16.0,16.2,5842
25.0,17.1,5867
26.0,17.1,5893
22.0,18.0,5915
23.0,18.900000000000002,5938
14.0,18.599999999999998,5952
21.0,18.7,5973
15.0,18.900000000000002,5988
17.0,18.900000000000002,6005
16.0,19.500000000000004,6021
32.0,21.1,6053
18.0,20.4,6071
10.0,18.8,6081
16.0,18.200000000000003,6097
12.0,17.1,6109
16.0,17.3,6125
23.0,17.5,6148
48.0,20.8,6196
17.0,20.8,6213
9.0,20.099999999999998,6222
21.0,19.000000000000004,6243
31.0,20.3,6274
17.0,21.0,6291
20.0,21.4,6311
14.0,21.599999999999998,6325
20.0,22.0,6345
20.0,21.7,6365
25.0,19.400000000000002,6390
39.0,21.6,6429
10.0,21.7,6439
89.0,28.5,6528
38.0,29.200000000000006,6566
19.0,29.400000000000002,6585
28.0,30.200000000000003,6613
29.0,31.7,6642
13.0,31.0,6655
21.0,31.1,6676
20.0,30.6,6696
45.0,31.200000000000003,6741
16.0,31.800000000000004,6757
16.0,24.500000000000004,6773
26.0,23.300000000000004,6799
12.0,22.6,6811
18.0,21.6,6829
37.0,22.4,6866
28.0,23.9,6894
25.0,24.3,6919
19.0,24.2,6938
16.0,21.300000000000004,6954
14.0,21.1,6968
22.0,21.7,6990
9.0,20.0,6999
29.0,21.7,7028
29.0,22.799999999999997,7057
43.0,23.4,7100
13.0,21.900000000000002,7113
26.0,22.000000000000004,7139
16.0,21.700000000000003,7155
18.0,21.900000000000006,7173
16.0,22.100000000000005,7189
14.0,21.3,7203
14.0,21.8,7217
22.0,21.099999999999998,7239
14.0,19.599999999999998,7253
43.0,19.6,7296
15.0,19.8,7311
36.0,20.800000000000004,7347
24.0,21.6,7371
9.0,20.7,7380
24.0,21.499999999999996,7404
19.0,21.999999999999996,7423
56.0,26.2,7479
34.0,27.4,7513
12.0,27.2,7525
18.0,24.7,7543
17.0,24.9,7560
33.0,24.6,7593
70.0,29.2,7663
21.0,30.400000000000002,7684
13.0,29.3,7697
15.0,28.900000000000002,7712
24.0,25.700000000000003,7736
14.0,23.7,7750
37.0,26.199999999999996,7787
44.0,28.799999999999997,7831
43.0,31.4,7874
21.0,30.200000000000003,7895
18.0,25.000000000000004,7913
20.0,24.900000000000002,7933
38.0,27.400000000000006,7971
28.0,28.700000000000003,7999
35.0,29.8,8034
21.0,30.500000000000004,8055
26.0,29.400000000000006,8081
11.0,26.100000000000005,8092
18.0,23.60000000000001,8110
40.0,25.500000000000004,8150
18.0,25.500000000000004,8168
20.0,25.5,8188
34.0,25.1,8222
28.0,25.1,8250
23.0,23.900000000000002,8273
17.0,23.5,8290
15.0,22.400000000000002,8305
13.0,22.6,8318
12.0,22.0,8330
10.0,19.0,8340
21.0,19.300000000000004,8361
20.0,19.3,8381
17.0,17.6,8398
22.0,17.0,8420
56.0,20.3,8476
26.0,21.200000000000003,8502
22.0,21.900000000000002,8524
19.0,22.499999999999996,8543
21.0,23.4,8564
23.0,24.7,8587
12.0,23.8,8599
12.0,23.0,8611
18.0,23.1,8629
18.0,22.7,8647
31.0,20.200000000000003,8678
10.0,18.6,8688
21.0,18.500000000000004,8709
25.0,19.1,8734
12.0,18.2,8746
32.0,19.099999999999998,8778
44.0,22.3,8822
12.0,22.299999999999997,8834
24.0,22.899999999999995,8858
16.0,22.7,8874
17.0,21.3,8891
22.0,22.5,8913
60.0,26.4,8973
18.0,25.7,8991
13.0,25.8,9004
27.0,25.3,9031
39.0,24.8,9070
12.0,24.799999999999997,9082
11.0,23.5,9093
31.0,25.000000000000004,9124
12.0,24.500000000000004,9136
22.0,24.5,9158
26.0,21.099999999999998,9184
10.0,20.3,9194
15.0,20.5,9209
16.0,19.400000000000002,9225
15.0,17.0,9240
17.0,17.5,9257
12.0,17.599999999999998,9269
38.0,18.3,9307
13.0,18.4,9320
25.0,18.7,9345
14.0,17.5,9359
12.0,17.7,9371
19.0,18.1,9390
37.0,20.2,9427
14.0,20.099999999999998,9441
14.0,19.799999999999997,9455
20.0,20.599999999999998,9475
21.0,18.900000000000006,9496
12.0,18.8,9508
22.0,18.5,9530
13.0,18.400000000000002,9543
11.0,18.3,9554
15.0,17.900000000000002,9569
17.0,15.9,9586
13.0,15.8,9599
18.0,16.2,9617
17.0,15.9,9634
19.0,15.700000000000001,9653
13.0,15.800000000000002,9666
19.0,15.5,9685
26.0,16.8,9711
18.0,17.5,9729
16.0,17.6,9745
17.0,17.6,9762
21.0,18.400000000000002,9783
42.0,20.8,9825
30.0,22.1,9855
28.0,23.0,9883
11.0,22.800000000000004,9894
12.0,22.100000000000005,9906
12.0,20.700000000000003,9918
14.0,20.3,9932
29.0,21.599999999999998,9961
48.0,24.7,10009
16.0,24.2,10025
30.0,23.0,10055
16.0,21.600000000000005,10071
15.0,20.300000000000004,10086
24.0,21.6,10110
78.0,28.2,10188
47.0,31.7,10235
12.0,31.5,10247
61.0,34.699999999999996,10308
13.0,31.200000000000003,10321
12.0,30.8,10333
18.0,29.6,10351
16.0,29.600000000000005,10367
16.0,29.700000000000006,10383
28.0,30.100000000000005,10411
20.0,24.300000000000004,10431
39.0,23.5,10470
10.0,23.299999999999997,10480
19.0,19.099999999999998,10499
14.0,19.2,10513
32.0,21.2,10545
14.0,20.799999999999997,10559
34.0,22.599999999999998,10593
10.0,22.0,10603
24.0,21.6,10627
29.0,22.5,10656
61.0,24.700000000000003,10717
16.0,25.300000000000004,10733
18.0,25.200000000000003,10751
25.0,26.300000000000004,10776
21.0,25.200000000000006,10797
26.0,26.400000000000006,10823
18.0,24.800000000000004,10841
13.0,25.100000000000005,10854
15.0,24.200000000000003,10869
14.0,22.700000000000003,10883
14.0,18.0,10897
18.0,18.200000000000003,10915
27.0,19.1,10942
22.0,18.8,10964
11.0,17.8,10975
27.0,17.9,11002
17.0,17.799999999999997,11019
18.0,18.299999999999997,11037
22.0,18.999999999999996,11059
37.0,21.299999999999997,11096
14.0,21.299999999999997,11110
17.0,21.199999999999996,11127
11.0,19.6,11138
16.0,19.000000000000004,11154
16.0,19.500000000000004,11170
18.0,18.6,11188
17.0,18.599999999999998,11205
19.0,18.7,11224
62.0,22.7,11286
13.0,20.3,11299
22.0,21.1,11321
11.0,20.500000000000004,11332
38.0,23.200000000000003,11370
20.0,23.600000000000005,11390
10.0,23.000000000000004,11400
31.0,24.3,11431
17.0,24.3,11448
11.0,23.500000000000004,11459
12.0,18.5,11471
23.0,19.5,11494
16.0,18.9,11510
9.0,18.7,11519
36.0,18.5,11555
14.0,17.9,11569
63.0,23.2,11632
47.0,24.8,11679
16.0,24.700000000000003,11695
24.0,26.0,11719
29.0,27.7,11748
11.0,26.5,11759
26.0,27.500000000000004,11785
35.0,30.1,11820
26.0,29.1,11846
18.0,29.500000000000007,11864
26.0,25.800000000000004,11890
25.0,23.6,11915
15.0,23.5,11930
22.0,23.3,11952
21.0,22.500000000000004,11973
35.0,24.900000000000002,12008
16.0,23.900000000000002,12024
17.0,22.1,12041
28.0,22.3,12069
17.0,22.2,12086
51.0,24.7,12137
19.0,24.1,12156
31.0,25.7,12187
21.0,25.6,12208
9.0,24.4,12217
67.0,27.6,12284
19.0,27.9,12303
12.0,27.399999999999995,12315
12.0,25.799999999999997,12327
24.0,26.499999999999996,12351
35.0,24.9,12386
10.0,24.0,12396
9.0,21.799999999999997,12405
19.0,21.599999999999998,12424
13.0,21.999999999999996,12437
21.0,17.400000000000002,12458
23.0,17.8,12481
12.0,17.8,12493
11.0,17.700000000000003,12504
16.0,16.900000000000002,12520
12.0,14.6,12532
22.0,15.799999999999999,12554
22.0,17.099999999999998,12576
17.0,16.9,12593
21.0,17.7,12614
31.0,18.7,12645
13.0,17.7,12658
21.0,18.6,12679
17.0,19.2,12696
12.0,18.8,12708
14.0,19.0,12722
16.0,18.400000000000002,12738
52.0,21.4,12790
21.0,21.8,12811
23.0,22.000000000000004,12834
15.0,20.400000000000002,12849
18.0,20.900000000000002,12867
31.0,21.900000000000006,12898
28.0,23.000000000000004,12926
17.0,23.500000000000004,12943
18.0,23.900000000000002,12961
18.0,24.100000000000005,12979
57.0,24.6,13036
11.0,23.6,13047
18.0,23.100000000000005,13065
19.0,23.500000000000004,13084
52.0,26.900000000000002,13136
13.0,25.099999999999998,13149
16.0,23.900000000000006,13165
22.0,24.400000000000002,13187
14.0,24.0,13201
36.0,25.8,13237
47.0,24.8,13284
11.0,24.8,13295
23.0,25.3,13318
31.0,26.500000000000004,13349
20.0,23.300000000000004,13369
33.0,25.300000000000004,13402
14.0,25.1,13416
18.0,24.700000000000003,13434
33.0,26.6,13467
35.0,26.5,13502
19.0,23.700000000000003,13521
17.0,24.3,13538
14.0,23.4,13552
22.0,22.499999999999996,13574
9.0,21.4,13583
12.0,19.299999999999997,13595
12.0,19.099999999999998,13607
28.0,20.1,13635
17.0,18.499999999999996,13652
21.0,17.099999999999998,13673
31.0,18.3,13704
18.0,18.400000000000002,13722
29.0,19.9,13751
29.0,20.599999999999998,13780
14.0,21.099999999999998,13794
18.0,21.7,13812
34.0,23.9,13846
21.0,23.200000000000003,13867
19.0,23.4,13886
17.0,23.0,13903
15.0,21.4,13918
18.0,21.400000000000002,13936
12.0,19.7,13948
10.0,17.8,13958
18.0,18.200000000000003,13976
38.0,20.200000000000003,14014
42.0,21.0,14056
13.0,20.200000000000003,14069
106.0,28.900000000000002,14175
30.0,30.200000000000003,14205
27.0,31.400000000000002,14232
11.0,30.700000000000003,14243
18.0,31.300000000000004,14261
10.0,31.300000000000004,14271
12.0,30.700000000000003,14283
10.0,27.900000000000002,14293
14.0,25.1,14307
22.0,26.0,14329
15.0,16.9,14344
27.0,16.6,14371
11.0,15.0,14382
17.0,15.599999999999998,14399
11.0,14.899999999999999,14410
19.0,15.799999999999999,14429
9.0,15.499999999999998,14438
15.0,16.0,14453
15.0,16.1,14468
21.0,16.0,14489
13.0,15.8,14502
42.0,17.3,14544
15.0,17.700000000000003,14559
12.0,17.200000000000003,14571
17.0,17.8,14588
12.0,17.099999999999998,14600
15.0,17.7,14615
12.0,17.4,14627
18.0,17.7,14645
36.0,19.2,14681
8.0,18.7,14689
29.0,17.400000000000002,14718
13.0,17.200000000000003,14731
25.0,18.5,14756
15.0,18.300000000000004,14771
25.0,19.6,14796
22.0,20.3,14818
15.0,20.6,14833
15.0,20.3,14848
40.0,20.7,14888
17.0,21.6,14905
33.0,22.0,14938
32.0,23.9,14970
16.0,23.0,14986
26.0,24.1,15012
15.0,23.100000000000005,15027
19.0,22.8,15046
20.0,23.299999999999997,15066
11.0,22.9,15077
14.0,20.3,15091
13.0,19.900000000000002,15104
14.0,18.0,15118
31.0,17.900000000000002,15149
18.0,18.100000000000005,15167
16.0,17.1,15183
12.0,16.8,15195
15.0,16.400000000000002,15210
14.0,15.8,15224
13.0,16.0,15237
11.0,15.700000000000001,15248
23.0,16.7,15271
23.0,17.6,15294
9.0,15.400000000000002,15303
15.0,15.100000000000003,15318
21.0,15.600000000000001,15339
12.0,15.6,15351
36.0,17.7,15387
31.0,19.400000000000002,15418
15.0,19.6,15433
18.0,20.3,15451
41.0,22.1,15492
25.0,22.3,15517
20.0,23.400000000000002,15537
43.0,26.200000000000003,15580
22.0,26.300000000000004,15602
27.0,27.8,15629
31.0,27.3,15660
40.0,28.2,15700
14.0,28.1,15714
74.0,33.7,15788
