Episode_Return,Episode_Return_smooth,env_step
12.0,18.6,186
27.0,18.5,213
14.0,18.9,227
21.0,19.099999999999998,248
27.0,18.599999999999998,275
11.0,16.900000000000002,286
12.0,16.8,298
13.0,16.900000000000002,311
13.0,16.6,324
34.0,18.400000000000006,358
21.0,19.300000000000004,379
15.0,18.1,394
23.0,19.000000000000004,417
17.0,18.599999999999998,434
19.0,17.8,453
24.0,19.1,477
28.0,20.700000000000003,505
20.0,21.400000000000002,525
20.0,22.1,545
16.0,20.300000000000004,561
26.0,20.800000000000004,587
12.0,20.500000000000004,599
14.0,19.599999999999998,613
32.0,21.099999999999998,645
11.0,20.3,656
32.0,21.1,688
65.0,24.8,753
41.0,26.900000000000002,794
23.0,27.200000000000003,817
15.0,27.1,832
15.0,26.000000000000004,847
20.0,26.800000000000004,867
19.0,27.3,886
26.0,26.700000000000003,912
22.0,27.8,934
14.0,26.0,948
16.0,21.1,964
16.0,18.6,980
29.0,19.200000000000003,1009
84.0,26.1,1093
10.0,25.6,1103
33.0,26.900000000000002,1136
15.0,26.500000000000004,1151
18.0,25.700000000000003,1169
25.0,26.0,1194
22.0,26.8,1216
18.0,27.0,1234
9.0,26.3,1243
10.0,24.4,1253
17.0,17.7,1270
21.0,18.800000000000004,1291
23.0,17.8,1314
18.0,18.1,1332
22.0,18.5,1354
24.0,18.400000000000006,1378
30.0,19.200000000000003,1408
14.0,18.799999999999997,1422
20.0,19.9,1442
19.0,20.8,1461
25.0,21.6,1486
58.0,25.3,1544
10.0,24.000000000000004,1554
20.0,24.200000000000003,1574
14.0,23.4,1588
14.0,22.4,1602
18.0,21.2,1620
27.0,22.5,1647
23.0,22.8,1670
19.0,22.8,1689
11.0,21.400000000000002,1700
33.0,18.900000000000002,1733
34.0,21.300000000000004,1767
16.0,20.900000000000006,1783
12.0,20.700000000000003,1795
32.0,22.5,1827
15.0,22.2,1842
26.0,22.1,1868
47.0,24.5,1915
72.0,29.8,1987
17.0,30.4,2004
14.0,28.499999999999996,2018
28.0,27.9,2046
30.0,29.299999999999997,2076
16.0,29.7,2092
11.0,27.6,2103
14.0,27.5,2117
30.0,27.900000000000002,2147
19.0,25.1,2166
10.0,18.9,2176
28.0,20.0,2204
15.0,20.1,2219
46.0,21.900000000000002,2265
15.0,20.400000000000002,2280
11.0,19.900000000000002,2291
23.0,21.100000000000005,2314
11.0,20.800000000000004,2325
9.0,18.7,2334
16.0,18.400000000000002,2350
15.0,18.900000000000002,2365
11.0,17.200000000000003,2376
21.0,17.8,2397
16.0,14.799999999999999,2413
20.0,15.299999999999999,2433
14.0,15.6,2447
16.0,14.899999999999999,2463
25.0,16.299999999999997,2488
17.0,17.1,2505
49.0,20.4,2554
19.0,20.799999999999997,2573
16.0,21.300000000000004,2589
27.0,21.900000000000002,2616
17.0,22.0,2633
11.0,21.1,2644
16.0,21.3,2660
10.0,20.700000000000003,2670
14.0,19.599999999999998,2684
27.0,20.599999999999998,2711
12.0,16.9,2723
10.0,16.0,2733
18.0,16.2,2751
23.0,15.8,2774
36.0,17.700000000000003,2810
17.0,18.3,2827
25.0,19.200000000000003,2852
37.0,21.900000000000002,2889
22.0,22.7,2911
17.0,21.7,2928
15.0,21.999999999999996,2943
39.0,24.9,2982
74.0,30.5,3056
12.0,29.399999999999995,3068
25.0,28.3,3093
19.0,28.5,3112
34.0,29.4,3146
35.0,29.200000000000003,3181
20.0,29.0,3201
18.0,29.099999999999998,3219
37.0,31.299999999999997,3256
75.0,34.900000000000006,3331
29.0,30.4,3360
20.0,31.200000000000003,3380
17.0,30.400000000000002,3397
31.0,31.600000000000005,3428
22.0,30.4,3450
16.0,28.5,3466
21.0,28.6,3487
14.0,28.200000000000003,3501
10.0,25.500000000000004,3511
14.0,19.4,3525
17.0,18.2,3542
36.0,19.800000000000004,3578
16.0,19.700000000000003,3594
45.0,21.1,3639
11.0,20.0,3650
30.0,21.400000000000002,3680
19.0,21.2,3699
23.0,22.099999999999998,3722
22.0,23.299999999999997,3744
29.0,24.799999999999997,3773
26.0,25.700000000000003,3799
12.0,23.3,3811
26.0,24.3,3837
18.0,21.6,3855
11.0,21.600000000000005,3866
