Episode_Return,Episode_Return_smooth,env_step
9.0,19.8,198
25.0,19.700000000000003,223
46.0,23.300000000000004,269
23.0,24.200000000000003,292
19.0,25.1,311
10.0,21.400000000000002,321
76.0,27.000000000000004,397
25.0,28.1,422
31.0,29.000000000000004,453
16.0,28.000000000000004,469
23.0,29.400000000000006,492
16.0,28.500000000000007,508
35.0,27.400000000000006,543
11.0,26.200000000000006,554
11.0,25.400000000000006,565
44.0,28.800000000000004,609
10.0,22.200000000000003,619
11.0,20.8,630
24.0,20.1,654
21.0,20.6,675
38.0,22.1,713
17.0,22.2,730
12.0,19.9,742
13.0,20.1,755
13.0,20.3,768
15.0,17.400000000000002,783
19.0,18.3,802
22.0,19.4,824
23.0,19.300000000000004,847
28.0,20.000000000000004,875
25.0,18.700000000000003,900
10.0,18.0,910
18.0,18.6,928
15.0,18.8,943
26.0,20.1,969
11.0,19.700000000000003,980
13.0,19.100000000000005,993
14.0,18.3,1007
19.0,17.9,1026
39.0,19.0,1065
18.0,18.3,1083
15.0,18.8,1098
33.0,20.3,1131
14.0,20.2,1145
13.0,18.900000000000002,1158
21.0,19.900000000000002,1179
12.0,19.800000000000004,1191
22.0,20.6,1213
19.0,20.599999999999998,1232
23.0,19.0,1255
26.0,19.8,1281
18.0,20.1,1299
56.0,22.400000000000002,1355
13.0,22.300000000000004,1368
23.0,23.300000000000004,1391
24.0,23.6,1415
17.0,24.100000000000005,1432
18.0,23.700000000000003,1450
11.0,22.900000000000006,1461
22.0,22.8,1483
17.0,21.900000000000002,1500
47.0,24.8,1547
16.0,20.8,1563
17.0,21.2,1580
21.0,21.0,1601
17.0,20.3,1618
25.0,21.1,1643
27.0,22.0,1670
13.0,22.200000000000003,1683
19.0,21.9,1702
24.0,22.6,1726
13.0,19.200000000000003,1739
29.0,20.5,1768
25.0,21.300000000000004,1793
21.0,21.300000000000004,1814
9.0,20.5,1823
27.0,20.7,1850
23.0,20.3,1873
13.0,20.3,1886
16.0,20.000000000000004,1902
25.0,20.100000000000005,1927
23.0,21.100000000000005,1950
15.0,19.7,1965
15.0,18.700000000000003,1980
10.0,17.6,1990
26.0,19.300000000000004,2016
13.0,17.900000000000002,2029
14.0,17.0,2043
20.0,17.700000000000003,2063
19.0,18.0,2082
10.0,16.5,2092
38.0,18.0,2130
16.0,18.1,2146
27.0,19.3,2173
11.0,19.400000000000002,2184
33.0,20.1,2217
30.0,21.8,2247
49.0,25.299999999999997,2296
26.0,25.9,2322
12.0,25.2,2334
19.0,26.1,2353
12.0,23.5,2365
12.0,23.099999999999998,2377
24.0,22.799999999999997,2401
31.0,24.799999999999997,2432
17.0,23.2,2449
13.0,21.5,2462
21.0,18.700000000000003,2483
17.0,17.800000000000004,2500
16.0,18.200000000000003,2516
25.0,18.800000000000004,2541
12.0,18.8,2553
53.0,22.9,2606
15.0,22.000000000000004,2621
22.0,21.1,2643
43.0,23.700000000000003,2686
35.0,25.900000000000002,2721
21.0,25.900000000000002,2742
14.0,25.6,2756
27.0,26.7,2783
45.0,28.7,2828
26.0,30.1,2854
19.0,26.7,2873
17.0,26.9,2890
15.0,26.2,2905
14.0,23.299999999999997,2919
13.0,21.099999999999998,2932
14.0,20.4,2946
20.0,21.0,2966
10.0,19.3,2976
11.0,15.9,2987
48.0,18.1,3035
34.0,19.6,3069
31.0,21.000000000000004,3100
13.0,20.800000000000004,3113
35.0,22.900000000000002,3148
20.0,23.6,3168
30.0,25.2,3198
38.0,27.000000000000004,3236
15.0,27.500000000000004,3251
13.0,27.700000000000003,3264
13.0,24.200000000000003,3277
27.0,23.5,3304
16.0,22.000000000000004,3320
12.0,21.900000000000002,3332
19.0,20.3,3351
27.0,21.0,3378
21.0,20.100000000000005,3399
15.0,17.800000000000004,3414
16.0,17.900000000000006,3430
21.0,18.7,3451
23.0,19.700000000000003,3474
15.0,18.5,3489
50.0,21.9,3539
12.0,21.900000000000002,3551
32.0,23.2,3583
16.0,22.1,3599
10.0,21.0,3609
21.0,21.6,3630
15.0,21.500000000000004,3645
12.0,20.599999999999998,3657
25.0,20.8,3682
31.0,22.400000000000002,3713
20.0,19.400000000000002,3733
10.0,19.200000000000003,3743
52.0,21.2,3795
12.0,20.8,3807
13.0,21.1,3820
82.0,27.200000000000003,3902
29.0,28.6,3931
20.0,29.4,3951
16.0,28.5,3967
23.0,27.7,3990
43.0,30.000000000000007,4033
12.0,30.200000000000006,4045
14.0,26.400000000000002,4059
31.0,28.300000000000004,4090
17.0,28.7,4107
12.0,21.7,4119
54.0,24.199999999999996,4173
15.0,23.699999999999996,4188
30.0,25.1,4218
16.0,24.4,4234
11.0,21.200000000000003,4245
17.0,21.700000000000003,4262
21.0,22.400000000000006,4283
46.0,23.900000000000002,4329
37.0,25.900000000000002,4366
10.0,25.700000000000003,4376
33.0,23.599999999999998,4409
16.0,23.700000000000003,4425
26.0,23.300000000000004,4451
22.0,23.900000000000002,4473
34.0,26.200000000000003,4507
16.0,26.10000000000001,4523
19.0,25.9,4542
23.0,23.599999999999998,4565
18.0,21.7,4583
16.0,22.3,4599
13.0,20.300000000000004,4612
17.0,20.400000000000002,4629
22.0,20.0,4651
14.0,19.2,4665
11.0,16.900000000000002,4676
43.0,19.6,4719
17.0,19.400000000000002,4736
19.0,19.0,4755
21.0,19.3,4776
15.0,19.2,4791
32.0,21.099999999999998,4823
20.0,21.4,4843
27.0,21.9,4870
17.0,22.2,4887
27.0,23.799999999999997,4914
38.0,23.3,4952
43.0,25.9,4995
28.0,26.8,5023
42.0,28.900000000000002,5065
10.0,28.400000000000002,5075
16.0,26.800000000000004,5091
19.0,26.7,5110
23.0,26.3,5133
37.0,28.3,5170
34.0,29.0,5204
22.0,27.400000000000002,5226
28.0,25.9,5254
24.0,25.5,5278
30.0,24.300000000000004,5308
9.0,24.200000000000003,5317
23.0,24.900000000000002,5340
14.0,24.400000000000002,5354
16.0,23.7,5370
13.0,21.3,5383
15.0,19.400000000000002,5398
25.0,19.700000000000003,5423
35.0,20.400000000000002,5458
16.0,19.6,5474
25.0,19.1,5499
51.0,23.300000000000004,5550
16.0,22.6,5566
58.0,27.000000000000004,5624
12.0,26.6,5636
12.0,26.5,5648
14.0,26.4,5662
16.0,25.5,5678
22.0,24.2,5700
22.0,24.8,5722
12.0,23.5,5734
13.0,19.7,5747
19.0,20.0,5766
30.0,17.200000000000003,5796
20.0,18.0,5816
30.0,19.800000000000004,5846
15.0,19.9,5861
10.0,19.3,5871
17.0,18.8,5888
25.0,19.1,5913
15.0,19.4,5928
19.0,20.0,5947
11.0,19.2,5958
76.0,23.8,6034
29.0,24.700000000000003,6063
47.0,26.400000000000002,6110
13.0,26.200000000000003,6123
21.0,27.300000000000004,6144
19.0,27.5,6163
19.0,26.900000000000002,6182
38.0,29.200000000000003,6220
20.0,29.3,6240
11.0,29.3,6251
31.0,24.800000000000004,6282
11.0,23.000000000000007,6293
19.0,20.200000000000003,6312
45.0,23.4,6357
14.0,22.7,6371
18.0,22.599999999999998,6389
14.0,22.099999999999998,6403
19.0,20.2,6422
32.0,21.4,6454
15.0,21.8,6469
13.0,20.000000000000004,6482
59.0,24.800000000000004,6541
35.0,26.4,6576
9.0,22.8,6585
31.0,24.5,6616
17.0,24.400000000000002,6633
16.0,24.6,6649
29.0,25.6,6678
45.0,26.9,6723
12.0,26.599999999999998,6735
23.0,27.6,6758
38.0,25.5,6796
18.0,23.800000000000004,6814
61.0,29.000000000000004,6875
50.0,30.900000000000006,6925
12.0,30.400000000000002,6937
59.0,34.7,6996
12.0,33.00000000000001,7008
32.0,31.700000000000003,7040
25.0,33.0,7065
16.0,32.300000000000004,7081
18.0,30.3,7099
22.0,30.700000000000003,7121
15.0,26.1,7136
15.0,22.599999999999998,7151
22.0,23.599999999999998,7173
37.0,21.4,7210
13.0,21.5,7223
11.0,19.400000000000002,7234
27.0,19.6,7261
13.0,19.3,7274
11.0,18.600000000000005,7285
14.0,17.8,7299
13.0,17.6,7312
12.0,17.3,7324
13.0,16.400000000000002,7337
22.0,14.900000000000002,7359
57.0,19.3,7416
12.0,19.4,7428
23.0,19.0,7451
22.0,19.9,7473
15.0,20.3,7488
70.0,25.9,7558
35.0,28.1,7593
22.0,29.099999999999998,7615
14.0,29.2,7629
23.0,29.3,7652
24.0,26.0,7676
38.0,28.599999999999998,7714
42.0,30.5,7756
20.0,30.299999999999997,7776
27.0,31.499999999999996,7803
35.0,28.0,7838
23.0,26.8,7861
17.0,26.3,7878
10.0,25.900000000000002,7888
23.0,25.900000000000002,7911
11.0,24.6,7922
13.0,22.100000000000005,7935
40.0,21.900000000000002,7975
31.0,23.0,8006
12.0,21.500000000000004,8018
22.0,20.2,8040
14.0,19.299999999999997,8054
13.0,18.9,8067
29.0,20.799999999999997,8096
22.0,20.7,8118
12.0,20.8,8130
20.0,21.5,8150
14.0,18.9,8164
54.0,21.2,8218
18.0,21.8,8236
66.0,26.200000000000003,8302
14.0,26.200000000000003,8316
12.0,26.1,8328
25.0,25.7,8353
25.0,26.0,8378
22.0,27.0,8400
35.0,28.5,8435
27.0,29.8,8462
23.0,26.7,8485
11.0,26.0,8496
11.0,20.500000000000004,8507
25.0,21.600000000000005,8532
23.0,22.700000000000003,8555
20.0,22.2,8575
20.0,21.7,8595
30.0,22.5,8625
16.0,20.6,8641
17.0,19.6,8658
17.0,19.0,8675
22.0,20.099999999999998,8697
14.0,20.4,8711
27.0,20.599999999999998,8738
22.0,20.5,8760
19.0,20.4,8779
14.0,19.799999999999997,8793
19.0,18.7,8812
11.0,18.200000000000003,8823
16.0,18.1,8839
19.0,18.3,8858
14.0,17.5,8872
36.0,19.700000000000003,8908
45.0,21.500000000000004,8953
26.0,21.900000000000002,8979
14.0,21.4,8993
22.0,22.2,9015
24.0,22.700000000000003,9039
15.0,23.1,9054
11.0,22.6,9065
16.0,22.300000000000004,9081
18.0,22.700000000000006,9099
33.0,22.400000000000002,9132
25.0,20.400000000000002,9157
16.0,19.400000000000006,9173
19.0,19.900000000000002,9192
19.0,19.599999999999998,9211
21.0,19.3,9232
10.0,18.8,9242
20.0,19.700000000000003,9262
59.0,24.0,9321
11.0,23.300000000000004,9332
37.0,23.7,9369
13.0,22.5,9382
26.0,23.500000000000004,9408
27.0,24.3,9435
