Episode_Return,env_step
9.0,9
35.0,44
15.0,59
11.0,70
23.0,93
17.0,110
13.0,123
17.0,140
41.0,181
17.0,198
29.0,227
14.0,241
11.0,252
12.0,264
50.0,314
32.0,346
21.0,367
41.0,408
34.0,442
31.0,473
15.0,488
32.0,520
24.0,544
19.0,563
11.0,574
28.0,602
18.0,620
11.0,631
17.0,648
42.0,690
23.0,713
25.0,738
18.0,756
17.0,773
47.0,820
20.0,840
46.0,886
45.0,931
16.0,947
33.0,980
13.0,993
16.0,1009
29.0,1038
91.0,1129
20.0,1149
42.0,1191
36.0,1227
27.0,1254
12.0,1266
53.0,1319
66.0,1385
29.0,1414
10.0,1424
17.0,1441
10.0,1451
39.0,1490
47.0,1537
19.0,1556
70.0,1626
15.0,1641
10.0,1651
13.0,1664
14.0,1678
28.0,1706
14.0,1720
14.0,1734
14.0,1748
16.0,1764
10.0,1774
28.0,1802
17.0,1819
38.0,1857
9.0,1866
25.0,1891
24.0,1915
15.0,1930
14.0,1944
20.0,1964
20.0,1984
21.0,2005
21.0,2026
25.0,2051
48.0,2099
49.0,2148
19.0,2167
22.0,2189
26.0,2215
49.0,2264
19.0,2283
31.0,2314
18.0,2332
13.0,2345
18.0,2363
18.0,2381
36.0,2417
63.0,2480
35.0,2515
13.0,2528
15.0,2543
17.0,2560
12.0,2572
22.0,2594
30.0,2624
10.0,2634
28.0,2662
29.0,2691
13.0,2704
24.0,2728
28.0,2756
17.0,2773
11.0,2784
20.0,2804
24.0,2828
30.0,2858
22.0,2880
16.0,2896
42.0,2938
35.0,2973
33.0,3006
9.0,3015
29.0,3044
18.0,3062
25.0,3087
16.0,3103
19.0,3122
18.0,3140
11.0,3151
19.0,3170
16.0,3186
14.0,3200
14.0,3214
42.0,3256
13.0,3269
13.0,3282
18.0,3300
46.0,3346
15.0,3361
17.0,3378
18.0,3396
13.0,3409
28.0,3437
21.0,3458
12.0,3470
9.0,3479
34.0,3513
41.0,3554
20.0,3574
30.0,3604
19.0,3623
28.0,3651
33.0,3684
49.0,3733
39.0,3772
11.0,3783
14.0,3797
26.0,3823
31.0,3854
12.0,3866
20.0,3886
13.0,3899
20.0,3919
24.0,3943
22.0,3965
16.0,3981
13.0,3994
17.0,4011
27.0,4038
25.0,4063
18.0,4081
18.0,4099
22.0,4121
55.0,4176
11.0,4187
47.0,4234
20.0,4254
17.0,4271
24.0,4295
34.0,4329
14.0,4343
11.0,4354
17.0,4371
26.0,4397
26.0,4423
36.0,4459
12.0,4471
36.0,4507
11.0,4518
11.0,4529
9.0,4538
21.0,4559
14.0,4573
13.0,4586
10.0,4596
36.0,4632
50.0,4682
30.0,4712
29.0,4741
45.0,4786
24.0,4810
15.0,4825
28.0,4853
16.0,4869
13.0,4882
31.0,4913
18.0,4931
21.0,4952
9.0,4961
24.0,4985
22.0,5007
39.0,5046
12.0,5058
23.0,5081
13.0,5094
35.0,5129
28.0,5157
26.0,5183
17.0,5200
14.0,5214
47.0,5261
33.0,5294
28.0,5322
68.0,5390
13.0,5403
28.0,5431
14.0,5445
23.0,5468
29.0,5497
19.0,5516
37.0,5553
24.0,5577
11.0,5588
34.0,5622
34.0,5656
17.0,5673
29.0,5702
12.0,5714
49.0,5763
43.0,5806
18.0,5824
16.0,5840
30.0,5870
20.0,5890
17.0,5907
19.0,5926
13.0,5939
30.0,5969
19.0,5988
34.0,6022
17.0,6039
13.0,6052
26.0,6078
20.0,6098
32.0,6130
24.0,6154
21.0,6175
20.0,6195
13.0,6208
76.0,6284
36.0,6320
19.0,6339
30.0,6369
19.0,6388
10.0,6398
11.0,6409
13.0,6422
16.0,6438
34.0,6472
43.0,6515
12.0,6527
16.0,6543
17.0,6560
12.0,6572
25.0,6597
10.0,6607
13.0,6620
29.0,6649
22.0,6671
31.0,6702
16.0,6718
32.0,6750
24.0,6774
16.0,6790
14.0,6804
33.0,6837
13.0,6850
43.0,6893
20.0,6913
21.0,6934
21.0,6955
18.0,6973
22.0,6995
13.0,7008
28.0,7036
24.0,7060
20.0,7080
19.0,7099
18.0,7117
22.0,7139
21.0,7160
14.0,7174
29.0,7203
10.0,7213
23.0,7236
15.0,7251
25.0,7276
25.0,7301
14.0,7315
12.0,7327
14.0,7341
14.0,7355
10.0,7365
22.0,7387
13.0,7400
13.0,7413
10.0,7423
14.0,7437
16.0,7453
14.0,7467
15.0,7482
17.0,7499
22.0,7521
19.0,7540
17.0,7557
10.0,7567
23.0,7590
10.0,7600
14.0,7614
20.0,7634
14.0,7648
11.0,7659
14.0,7673
37.0,7710
16.0,7726
22.0,7748
21.0,7769
14.0,7783
13.0,7796
11.0,7807
18.0,7825
16.0,7841
27.0,7868
16.0,7884
38.0,7922
15.0,7937
16.0,7953
17.0,7970
9.0,7979
14.0,7993
17.0,8010
12.0,8022
21.0,8043
15.0,8058
11.0,8069
30.0,8099
26.0,8125
26.0,8151
45.0,8196
19.0,8215
19.0,8234
22.0,8256
13.0,8269
19.0,8288
38.0,8326
19.0,8345
16.0,8361
16.0,8377
14.0,8391
33.0,8424
17.0,8441
17.0,8458
22.0,8480
23.0,8503
13.0,8516
31.0,8547
19.0,8566
16.0,8582
17.0,8599
33.0,8632
21.0,8653
17.0,8670
11.0,8681
23.0,8704
13.0,8717
66.0,8783
18.0,8801
13.0,8814
24.0,8838
9.0,8847
19.0,8866
14.0,8880
15.0,8895
16.0,8911
32.0,8943
15.0,8958
18.0,8976
38.0,9014
14.0,9028
14.0,9042
14.0,9056
13.0,9069
11.0,9080
17.0,9097
32.0,9129
12.0,9141
22.0,9163
18.0,9181
15.0,9196
18.0,9214
17.0,9231
25.0,9256
36.0,9292
31.0,9323
11.0,9334
31.0,9365
22.0,9387
26.0,9413
28.0,9441
14.0,9455
29.0,9484
30.0,9514
14.0,9528
14.0,9542
18.0,9560
21.0,9581
15.0,9596
14.0,9610
24.0,9634
25.0,9659
16.0,9675
18.0,9693
19.0,9712
19.0,9731
17.0,9748
21.0,9769
48.0,9817
32.0,9849
15.0,9864
27.0,9891
10.0,9901
39.0,9940
14.0,9954
17.0,9971
30.0,10001
35.0,10036
27.0,10063
17.0,10080
25.0,10105
17.0,10122
43.0,10165
16.0,10181
27.0,10208
30.0,10238
21.0,10259
16.0,10275
28.0,10303
20.0,10323
13.0,10336
19.0,10355
13.0,10368
16.0,10384
44.0,10428
13.0,10441
30.0,10471
24.0,10495
17.0,10512
12.0,10524
22.0,10546
27.0,10573
31.0,10604
22.0,10626
10.0,10636
44.0,10680
38.0,10718
31.0,10749
31.0,10780
30.0,10810
15.0,10825
40.0,10865
24.0,10889
19.0,10908
17.0,10925
10.0,10935
31.0,10966
19.0,10985
12.0,10997
10.0,11007
70.0,11077
13.0,11090
15.0,11105
22.0,11127
24.0,11151
14.0,11165
17.0,11182
20.0,11202
15.0,11217
12.0,11229
13.0,11242
39.0,11281
43.0,11324
22.0,11346
34.0,11380
14.0,11394
16.0,11410
18.0,11428
22.0,11450
11.0,11461
21.0,11482
14.0,11496
40.0,11536
31.0,11567
30.0,11597
30.0,11627
26.0,11653
13.0,11666
15.0,11681
20.0,11701
19.0,11720
12.0,11732
11.0,11743
9.0,11752
20.0,11772
