Episode_Return,env_step
9.0,9
35.0,44
15.0,59
11.0,70
23.0,93
17.0,110
13.0,123
17.0,140
41.0,181
17.0,198
29.0,227
14.0,241
11.0,252
12.0,264
50.0,314
32.0,346
21.0,367
41.0,408
34.0,442
31.0,473
15.0,488
32.0,520
24.0,544
19.0,563
11.0,574
15.0,589
33.0,622
14.0,636
16.0,652
20.0,672
22.0,694
11.0,705
9.0,714
23.0,737
27.0,764
12.0,776
30.0,806
16.0,822
23.0,845
45.0,890
17.0,907
13.0,920
13.0,933
14.0,947
21.0,968
27.0,995
51.0,1046
29.0,1075
24.0,1099
33.0,1132
34.0,1166
16.0,1182
16.0,1198
26.0,1224
48.0,1272
28.0,1300
17.0,1317
23.0,1340
12.0,1352
26.0,1378
12.0,1390
11.0,1401
29.0,1430
18.0,1448
26.0,1474
21.0,1495
18.0,1513
26.0,1539
22.0,1561
11.0,1572
46.0,1618
25.0,1643
10.0,1653
34.0,1687
18.0,1705
10.0,1715
12.0,1727
23.0,1750
16.0,1766
16.0,1782
19.0,1801
16.0,1817
29.0,1846
12.0,1858
14.0,1872
19.0,1891
15.0,1906
32.0,1938
28.0,1966
12.0,1978
15.0,1993
12.0,2005
17.0,2022
20.0,2042
19.0,2061
25.0,2086
14.0,2100
20.0,2120
12.0,2132
16.0,2148
13.0,2161
20.0,2181
18.0,2199
12.0,2211
33.0,2244
37.0,2281
31.0,2312
18.0,2330
30.0,2360
21.0,2381
9.0,2390
12.0,2402
14.0,2416
16.0,2432
14.0,2446
14.0,2460
12.0,2472
18.0,2490
8.0,2498
21.0,2519
19.0,2538
17.0,2555
18.0,2573
19.0,2592
11.0,2603
13.0,2616
15.0,2631
13.0,2644
14.0,2658
18.0,2676
14.0,2690
14.0,2704
21.0,2725
25.0,2750
15.0,2765
33.0,2798
15.0,2813
20.0,2833
25.0,2858
25.0,2883
28.0,2911
19.0,2930
15.0,2945
11.0,2956
36.0,2992
9.0,3001
26.0,3027
28.0,3055
35.0,3090
12.0,3102
13.0,3115
27.0,3142
32.0,3174
15.0,3189
18.0,3207
17.0,3224
13.0,3237
12.0,3249
11.0,3260
21.0,3281
20.0,3301
32.0,3333
14.0,3347
33.0,3380
27.0,3407
33.0,3440
12.0,3452
18.0,3470
19.0,3489
38.0,3527
29.0,3556
17.0,3573
28.0,3601
12.0,3613
30.0,3643
13.0,3656
47.0,3703
10.0,3713
12.0,3725
13.0,3738
15.0,3753
21.0,3774
14.0,3788
24.0,3812
30.0,3842
17.0,3859
18.0,3877
10.0,3887
26.0,3913
36.0,3949
16.0,3965
13.0,3978
24.0,4002
19.0,4021
33.0,4054
15.0,4069
24.0,4093
32.0,4125
11.0,4136
22.0,4158
20.0,4178
13.0,4191
14.0,4205
12.0,4217
12.0,4229
36.0,4265
27.0,4292
34.0,4326
12.0,4338
20.0,4358
23.0,4381
17.0,4398
17.0,4415
10.0,4425
21.0,4446
24.0,4470
16.0,4486
14.0,4500
12.0,4512
13.0,4525
28.0,4553
19.0,4572
12.0,4584
16.0,4600
16.0,4616
23.0,4639
18.0,4657
10.0,4667
29.0,4696
32.0,4728
17.0,4745
16.0,4761
20.0,4781
13.0,4794
13.0,4807
13.0,4820
24.0,4844
16.0,4860
16.0,4876
14.0,4890
18.0,4908
30.0,4938
38.0,4976
17.0,4993
13.0,5006
25.0,5031
14.0,5045
19.0,5064
14.0,5078
29.0,5107
24.0,5131
11.0,5142
13.0,5155
40.0,5195
20.0,5215
21.0,5236
27.0,5263
14.0,5277
9.0,5286
39.0,5325
14.0,5339
28.0,5367
13.0,5380
30.0,5410
22.0,5432
16.0,5448
24.0,5472
36.0,5508
18.0,5526
24.0,5550
61.0,5611
22.0,5633
12.0,5645
19.0,5664
16.0,5680
29.0,5709
21.0,5730
41.0,5771
44.0,5815
15.0,5830
16.0,5846
16.0,5862
39.0,5901
22.0,5923
12.0,5935
12.0,5947
12.0,5959
12.0,5971
41.0,6012
35.0,6047
17.0,6064
24.0,6088
21.0,6109
27.0,6136
29.0,6165
21.0,6186
54.0,6240
16.0,6256
18.0,6274
12.0,6286
31.0,6317
14.0,6331
34.0,6365
12.0,6377
21.0,6398
20.0,6418
11.0,6429
14.0,6443
21.0,6464
15.0,6479
19.0,6498
42.0,6540
12.0,6552
11.0,6563
10.0,6573
23.0,6596
11.0,6607
13.0,6620
23.0,6643
13.0,6656
19.0,6675
17.0,6692
25.0,6717
19.0,6736
9.0,6745
14.0,6759
35.0,6794
18.0,6812
17.0,6829
28.0,6857
20.0,6877
14.0,6891
15.0,6906
13.0,6919
25.0,6944
15.0,6959
28.0,6987
52.0,7039
18.0,7057
20.0,7077
13.0,7090
9.0,7099
16.0,7115
19.0,7134
15.0,7149
10.0,7159
39.0,7198
27.0,7225
55.0,7280
20.0,7300
15.0,7315
21.0,7336
16.0,7352
31.0,7383
28.0,7411
11.0,7422
19.0,7441
27.0,7468
20.0,7488
13.0,7501
10.0,7511
60.0,7571
15.0,7586
27.0,7613
28.0,7641
18.0,7659
20.0,7679
9.0,7688
16.0,7704
17.0,7721
13.0,7734
67.0,7801
14.0,7815
18.0,7833
18.0,7851
28.0,7879
21.0,7900
15.0,7915
12.0,7927
21.0,7948
16.0,7964
21.0,7985
11.0,7996
21.0,8017
17.0,8034
32.0,8066
17.0,8083
23.0,8106
15.0,8121
15.0,8136
27.0,8163
12.0,8175
18.0,8193
16.0,8209
12.0,8221
18.0,8239
34.0,8273
11.0,8284
32.0,8316
17.0,8333
19.0,8352
24.0,8376
15.0,8391
19.0,8410
13.0,8423
42.0,8465
19.0,8484
17.0,8501
10.0,8511
29.0,8540
11.0,8551
12.0,8563
19.0,8582
16.0,8598
23.0,8621
10.0,8631
14.0,8645
14.0,8659
20.0,8679
10.0,8689
24.0,8713
9.0,8722
14.0,8736
19.0,8755
42.0,8797
15.0,8812
17.0,8829
26.0,8855
20.0,8875
18.0,8893
28.0,8921
16.0,8937
16.0,8953
17.0,8970
28.0,8998
13.0,9011
20.0,9031
37.0,9068
19.0,9087
16.0,9103
15.0,9118
16.0,9134
29.0,9163
12.0,9175
10.0,9185
20.0,9205
23.0,9228
16.0,9244
24.0,9268
12.0,9280
24.0,9304
12.0,9316
14.0,9330
15.0,9345
43.0,9388
24.0,9412
29.0,9441
11.0,9452
14.0,9466
12.0,9478
34.0,9512
15.0,9527
14.0,9541
19.0,9560
16.0,9576
19.0,9595
19.0,9614
12.0,9626
16.0,9642
9.0,9651
32.0,9683
39.0,9722
14.0,9736
17.0,9753
16.0,9769
15.0,9784
16.0,9800
21.0,9821
42.0,9863
20.0,9883
11.0,9894
28.0,9922
14.0,9936
16.0,9952
21.0,9973
13.0,9986
18.0,10004
12.0,10016
31.0,10047
18.0,10065
12.0,10077
22.0,10099
17.0,10116
23.0,10139
31.0,10170
58.0,10228
30.0,10258
23.0,10281
17.0,10298
30.0,10328
23.0,10351
50.0,10401
11.0,10412
35.0,10447
11.0,10458
10.0,10468
11.0,10479
20.0,10499
10.0,10509
11.0,10520
30.0,10550
12.0,10562
67.0,10629
26.0,10655
16.0,10671
27.0,10698
36.0,10734
11.0,10745
19.0,10764
14.0,10778
31.0,10809
10.0,10819
