Episode_Return,env_step
56.0,56
12.0,68
46.0,114
42.0,156
20.0,176
10.0,186
24.0,210
10.0,220
28.0,248
13.0,261
28.0,289
24.0,313
14.0,327
19.0,346
11.0,357
40.0,397
13.0,410
17.0,427
25.0,452
15.0,467
35.0,502
12.0,514
16.0,530
24.0,554
22.0,576
24.0,600
14.0,614
16.0,630
17.0,647
12.0,659
56.0,715
39.0,754
24.0,778
19.0,797
19.0,816
52.0,868
16.0,884
31.0,915
28.0,943
16.0,959
42.0,1001
33.0,1034
16.0,1050
24.0,1074
59.0,1133
15.0,1148
11.0,1159
50.0,1209
19.0,1228
12.0,1240
22.0,1262
89.0,1351
11.0,1362
19.0,1381
18.0,1399
14.0,1413
22.0,1435
26.0,1461
11.0,1472
24.0,1496
14.0,1510
32.0,1542
44.0,1586
18.0,1604
12.0,1616
9.0,1625
27.0,1652
12.0,1664
13.0,1677
14.0,1691
10.0,1701
24.0,1725
31.0,1756
18.0,1774
30.0,1804
26.0,1830
28.0,1858
11.0,1869
26.0,1895
14.0,1909
11.0,1920
20.0,1940
20.0,1960
27.0,1987
10.0,1997
25.0,2022
23.0,2045
17.0,2062
12.0,2074
43.0,2117
21.0,2138
14.0,2152
19.0,2171
12.0,2183
24.0,2207
30.0,2237
20.0,2257
26.0,2283
18.0,2301
39.0,2340
10.0,2350
38.0,2388
55.0,2443
36.0,2479
15.0,2494
14.0,2508
23.0,2531
31.0,2562
65.0,2627
14.0,2641
16.0,2657
36.0,2693
10.0,2703
13.0,2716
23.0,2739
11.0,2750
25.0,2775
16.0,2791
26.0,2817
38.0,2855
13.0,2868
12.0,2880
21.0,2901
27.0,2928
11.0,2939
13.0,2952
15.0,2967
45.0,3012
17.0,3029
15.0,3044
11.0,3055
22.0,3077
41.0,3118
16.0,3134
34.0,3168
12.0,3180
17.0,3197
21.0,3218
17.0,3235
14.0,3249
18.0,3267
13.0,3280
13.0,3293
22.0,3315
18.0,3333
19.0,3352
44.0,3396
18.0,3414
32.0,3446
15.0,3461
34.0,3495
19.0,3514
12.0,3526
17.0,3543
22.0,3565
18.0,3583
12.0,3595
36.0,3631
20.0,3651
43.0,3694
15.0,3709
21.0,3730
22.0,3752
27.0,3779
10.0,3789
12.0,3801
21.0,3822
12.0,3834
27.0,3861
13.0,3874
13.0,3887
11.0,3898
13.0,3911
11.0,3922
19.0,3941
12.0,3953
15.0,3968
18.0,3986
19.0,4005
11.0,4016
51.0,4067
22.0,4089
16.0,4105
10.0,4115
9.0,4124
26.0,4150
35.0,4185
21.0,4206
21.0,4227
16.0,4243
14.0,4257
9.0,4266
11.0,4277
8.0,4285
15.0,4300
53.0,4353
15.0,4368
42.0,4410
13.0,4423
11.0,4434
26.0,4460
12.0,4472
53.0,4525
17.0,4542
18.0,4560
46.0,4606
20.0,4626
15.0,4641
14.0,4655
11.0,4666
16.0,4682
20.0,4702
11.0,4713
51.0,4764
19.0,4783
27.0,4810
11.0,4821
14.0,4835
14.0,4849
14.0,4863
14.0,4877
15.0,4892
35.0,4927
14.0,4941
13.0,4954
26.0,4980
52.0,5032
12.0,5044
29.0,5073
14.0,5087
32.0,5119
29.0,5148
9.0,5157
30.0,5187
26.0,5213
13.0,5226
42.0,5268
10.0,5278
13.0,5291
52.0,5343
10.0,5353
11.0,5364
8.0,5372
11.0,5383
18.0,5401
24.0,5425
26.0,5451
12.0,5463
9.0,5472
13.0,5485
11.0,5496
11.0,5507
20.0,5527
23.0,5550
9.0,5559
13.0,5572
11.0,5583
11.0,5594
9.0,5603
20.0,5623
18.0,5641
33.0,5674
13.0,5687
9.0,5696
25.0,5721
11.0,5732
10.0,5742
41.0,5783
18.0,5801
10.0,5811
12.0,5823
11.0,5834
13.0,5847
33.0,5880
13.0,5893
25.0,5918
20.0,5938
14.0,5952
26.0,5978
14.0,5992
26.0,6018
17.0,6035
45.0,6080
18.0,6098
30.0,6128
16.0,6144
45.0,6189
14.0,6203
13.0,6216
37.0,6253
10.0,6263
12.0,6275
19.0,6294
33.0,6327
12.0,6339
21.0,6360
34.0,6394
29.0,6423
19.0,6442
15.0,6457
24.0,6481
23.0,6504
13.0,6517
14.0,6531
20.0,6551
25.0,6576
28.0,6604
13.0,6617
16.0,6633
20.0,6653
16.0,6669
20.0,6689
20.0,6709
9.0,6718
18.0,6736
23.0,6759
35.0,6794
10.0,6804
16.0,6820
18.0,6838
19.0,6857
17.0,6874
18.0,6892
12.0,6904
28.0,6932
23.0,6955
24.0,6979
17.0,6996
11.0,7007
21.0,7028
15.0,7043
16.0,7059
22.0,7081
14.0,7095
13.0,7108
21.0,7129
42.0,7171
17.0,7188
12.0,7200
28.0,7228
13.0,7241
21.0,7262
29.0,7291
14.0,7305
12.0,7317
19.0,7336
15.0,7351
23.0,7374
15.0,7389
16.0,7405
44.0,7449
11.0,7460
41.0,7501
19.0,7520
16.0,7536
31.0,7567
23.0,7590
44.0,7634
53.0,7687
83.0,7770
24.0,7794
27.0,7821
22.0,7843
14.0,7857
15.0,7872
14.0,7886
12.0,7898
13.0,7911
13.0,7924
27.0,7951
14.0,7965
11.0,7976
15.0,7991
15.0,8006
17.0,8023
16.0,8039
45.0,8084
13.0,8097
19.0,8116
13.0,8129
18.0,8147
19.0,8166
19.0,8185
23.0,8208
18.0,8226
16.0,8242
14.0,8256
17.0,8273
20.0,8293
17.0,8310
14.0,8324
26.0,8350
21.0,8371
20.0,8391
23.0,8414
30.0,8444
24.0,8468
44.0,8512
16.0,8528
17.0,8545
23.0,8568
28.0,8596
64.0,8660
23.0,8683
11.0,8694
30.0,8724
60.0,8784
31.0,8815
27.0,8842
24.0,8866
19.0,8885
24.0,8909
47.0,8956
10.0,8966
19.0,8985
12.0,8997
15.0,9012
13.0,9025
16.0,9041
13.0,9054
32.0,9086
18.0,9104
29.0,9133
23.0,9156
14.0,9170
17.0,9187
34.0,9221
10.0,9231
16.0,9247
18.0,9265
22.0,9287
15.0,9302
16.0,9318
21.0,9339
11.0,9350
11.0,9361
19.0,9380
23.0,9403
12.0,9415
24.0,9439
24.0,9463
30.0,9493
16.0,9509
11.0,9520
15.0,9535
35.0,9570
79.0,9649
11.0,9660
18.0,9678
13.0,9691
14.0,9705
46.0,9751
16.0,9767
13.0,9780
11.0,9791
12.0,9803
11.0,9814
18.0,9832
11.0,9843
16.0,9859
28.0,9887
38.0,9925
14.0,9939
16.0,9955
30.0,9985
10.0,9995
25.0,10020
21.0,10041
22.0,10063
30.0,10093
12.0,10105
20.0,10125
12.0,10137
16.0,10153
36.0,10189
17.0,10206
27.0,10233
11.0,10244
11.0,10255
15.0,10270
22.0,10292
37.0,10329
24.0,10353
18.0,10371
20.0,10391
11.0,10402
33.0,10435
25.0,10460
11.0,10471
15.0,10486
17.0,10503
41.0,10544
26.0,10570
17.0,10587
25.0,10612
12.0,10624
26.0,10650
16.0,10666
25.0,10691
12.0,10703
43.0,10746
13.0,10759
59.0,10818
13.0,10831
20.0,10851
55.0,10906
17.0,10923
14.0,10937
14.0,10951
12.0,10963
33.0,10996
11.0,11007
12.0,11019
18.0,11037
22.0,11059
9.0,11068
12.0,11080
83.0,11163
35.0,11198
24.0,11222
18.0,11240
16.0,11256
16.0,11272
11.0,11283
25.0,11308
14.0,11322
9.0,11331
27.0,11358
13.0,11371
32.0,11403
12.0,11415
24.0,11439
14.0,11453
13.0,11466
14.0,11480
12.0,11492
10.0,11502
50.0,11552
9.0,11561
30.0,11591
23.0,11614
16.0,11630
21.0,11651
26.0,11677
13.0,11690
24.0,11714
16.0,11730
12.0,11742
14.0,11756
40.0,11796
12.0,11808
32.0,11840
12.0,11852
20.0,11872
18.0,11890
11.0,11901
21.0,11922
17.0,11939
31.0,11970
25.0,11995
26.0,12021
21.0,12042
27.0,12069
15.0,12084
28.0,12112
14.0,12126
9.0,12135
56.0,12191
13.0,12204
38.0,12242
13.0,12255
35.0,12290
20.0,12310
20.0,12330
14.0,12344
14.0,12358
14.0,12372
21.0,12393
9.0,12402
11.0,12413
15.0,12428
14.0,12442
29.0,12471
30.0,12501
18.0,12519
18.0,12537
10.0,12547
16.0,12563
16.0,12579
30.0,12609
19.0,12628
11.0,12639
32.0,12671
44.0,12715
37.0,12752
27.0,12779
15.0,12794
25.0,12819
19.0,12838
36.0,12874
14.0,12888
18.0,12906
23.0,12929
42.0,12971
18.0,12989
17.0,13006
19.0,13025
26.0,13051
12.0,13063
11.0,13074
22.0,13096
22.0,13118
19.0,13137
10.0,13147
10.0,13157
12.0,13169
48.0,13217
18.0,13235
44.0,13279
13.0,13292
21.0,13313
21.0,13334
14.0,13348
22.0,13370
16.0,13386
24.0,13410
33.0,13443
27.0,13470
23.0,13493
12.0,13505
27.0,13532
47.0,13579
28.0,13607
10.0,13617
27.0,13644
55.0,13699
20.0,13719
11.0,13730
14.0,13744
29.0,13773
17.0,13790
9.0,13799
51.0,13850
24.0,13874
15.0,13889
18.0,13907
32.0,13939
11.0,13950
28.0,13978
28.0,14006
21.0,14027
22.0,14049
18.0,14067
23.0,14090
107.0,14197
16.0,14213
17.0,14230
15.0,14245
19.0,14264
9.0,14273
17.0,14290
22.0,14312
10.0,14322
16.0,14338
22.0,14360
59.0,14419
20.0,14439
36.0,14475
13.0,14488
23.0,14511
17.0,14528
25.0,14553
9.0,14562
35.0,14597
26.0,14623
21.0,14644
25.0,14669
14.0,14683
44.0,14727
23.0,14750
16.0,14766
41.0,14807
57.0,14864
17.0,14881
17.0,14898
13.0,14911
12.0,14923
21.0,14944
18.0,14962
15.0,14977
17.0,14994
11.0,15005
13.0,15018
22.0,15040
16.0,15056
20.0,15076
19.0,15095
20.0,15115
15.0,15130
19.0,15149
19.0,15168
16.0,15184
12.0,15196
26.0,15222
27.0,15249
13.0,15262
73.0,15335
15.0,15350
10.0,15360
29.0,15389
27.0,15416
21.0,15437
16.0,15453
11.0,15464
18.0,15482
15.0,15497
18.0,15515
15.0,15530
36.0,15566
12.0,15578
24.0,15602
14.0,15616
16.0,15632
40.0,15672
18.0,15690
29.0,15719
32.0,15751
29.0,15780
16.0,15796
34.0,15830
16.0,15846
24.0,15870
23.0,15893
21.0,15914
12.0,15926
47.0,15973
38.0,16011
19.0,16030
21.0,16051
33.0,16084
24.0,16108
34.0,16142
14.0,16156
13.0,16169
10.0,16179
26.0,16205
14.0,16219
9.0,16228
46.0,16274
20.0,16294
17.0,16311
23.0,16334
18.0,16352
22.0,16374
43.0,16417
48.0,16465
18.0,16483
37.0,16520
41.0,16561
19.0,16580
10.0,16590
14.0,16604
16.0,16620
10.0,16630
16.0,16646
12.0,16658
12.0,16670
13.0,16683
23.0,16706
22.0,16728
23.0,16751
13.0,16764
21.0,16785
34.0,16819
14.0,16833
12.0,16845
18.0,16863
31.0,16894
13.0,16907
8.0,16915
11.0,16926
23.0,16949
14.0,16963
28.0,16991
15.0,17006
13.0,17019
16.0,17035
24.0,17059
13.0,17072
17.0,17089
12.0,17101
20.0,17121
20.0,17141
24.0,17165
20.0,17185
29.0,17214
16.0,17230
12.0,17242
39.0,17281
11.0,17292
36.0,17328
17.0,17345
13.0,17358
36.0,17394
66.0,17460
15.0,17475
15.0,17490
17.0,17507
11.0,17518
11.0,17529
15.0,17544
26.0,17570
13.0,17583
20.0,17603
26.0,17629
14.0,17643
15.0,17658
20.0,17678
32.0,17710
14.0,17724
10.0,17734
22.0,17756
9.0,17765
14.0,17779
17.0,17796
13.0,17809
9.0,17818
31.0,17849
23.0,17872
35.0,17907
21.0,17928
13.0,17941
19.0,17960
9.0,17969
20.0,17989
20.0,18009
48.0,18057
56.0,18113
22.0,18135
18.0,18153
12.0,18165
19.0,18184
26.0,18210
18.0,18228
25.0,18253
14.0,18267
18.0,18285
28.0,18313
32.0,18345
13.0,18358
15.0,18373
22.0,18395
24.0,18419
24.0,18443
22.0,18465
21.0,18486
15.0,18501
18.0,18519
17.0,18536
17.0,18553
39.0,18592
18.0,18610
18.0,18628
11.0,18639
13.0,18652
51.0,18703
13.0,18716
42.0,18758
38.0,18796
21.0,18817
40.0,18857
13.0,18870
18.0,18888
12.0,18900
27.0,18927
24.0,18951
19.0,18970
38.0,19008
18.0,19026
19.0,19045
14.0,19059
21.0,19080
30.0,19110
19.0,19129
25.0,19154
11.0,19165
21.0,19186
11.0,19197
31.0,19228
87.0,19315
18.0,19333
15.0,19348
16.0,19364
46.0,19410
15.0,19425
84.0,19509
33.0,19542
25.0,19567
21.0,19588
24.0,19612
15.0,19627
13.0,19640
19.0,19659
41.0,19700
16.0,19716
14.0,19730
61.0,19791
17.0,19808
36.0,19844
20.0,19864
30.0,19894
11.0,19905
23.0,19928
16.0,19944
41.0,19985
26.0,20011
20.0,20031
42.0,20073
23.0,20096
21.0,20117
19.0,20136
15.0,20151
9.0,20160
30.0,20190
19.0,20209
35.0,20244
38.0,20282
28.0,20310
12.0,20322
38.0,20360
20.0,20380
31.0,20411
85.0,20496
14.0,20510
57.0,20567
10.0,20577
10.0,20587
22.0,20609
28.0,20637
15.0,20652
21.0,20673
32.0,20705
18.0,20723
25.0,20748
15.0,20763
33.0,20796
11.0,20807
31.0,20838
9.0,20847
14.0,20861
53.0,20914
61.0,20975
29.0,21004
12.0,21016
11.0,21027
20.0,21047
30.0,21077
25.0,21102
17.0,21119
21.0,21140
36.0,21176
31.0,21207
10.0,21217
53.0,21270
17.0,21287
48.0,21335
11.0,21346
47.0,21393
26.0,21419
19.0,21438
11.0,21449
25.0,21474
13.0,21487
21.0,21508
15.0,21523
38.0,21561
38.0,21599
52.0,21651
11.0,21662
13.0,21675
42.0,21717
12.0,21729
14.0,21743
18.0,21761
12.0,21773
28.0,21801
22.0,21823
11.0,21834
19.0,21853
17.0,21870
12.0,21882
9.0,21891
11.0,21902
26.0,21928
15.0,21943
36.0,21979
12.0,21991
22.0,22013
19.0,22032
16.0,22048
33.0,22081
20.0,22101
10.0,22111
22.0,22133
37.0,22170
12.0,22182
24.0,22206
26.0,22232
26.0,22258
23.0,22281
14.0,22295
23.0,22318
17.0,22335
14.0,22349
16.0,22365
23.0,22388
21.0,22409
26.0,22435
12.0,22447
10.0,22457
16.0,22473
14.0,22487
33.0,22520
39.0,22559
15.0,22574
12.0,22586
11.0,22597
47.0,22644
28.0,22672
21.0,22693
27.0,22720
47.0,22767
14.0,22781
19.0,22800
16.0,22816
29.0,22845
17.0,22862
11.0,22873
12.0,22885
32.0,22917
16.0,22933
14.0,22947
48.0,22995
10.0,23005
34.0,23039
10.0,23049
18.0,23067
17.0,23084
13.0,23097
17.0,23114
19.0,23133
10.0,23143
28.0,23171
13.0,23184
22.0,23206
20.0,23226
26.0,23252
20.0,23272
14.0,23286
16.0,23302
16.0,23318
13.0,23331
17.0,23348
12.0,23360
15.0,23375
13.0,23388
12.0,23400
18.0,23418
13.0,23431
18.0,23449
22.0,23471
19.0,23490
12.0,23502
30.0,23532
31.0,23563
23.0,23586
9.0,23595
11.0,23606
17.0,23623
32.0,23655
19.0,23674
38.0,23712
36.0,23748
10.0,23758
15.0,23773
23.0,23796
33.0,23829
16.0,23845
16.0,23861
27.0,23888
14.0,23902
21.0,23923
24.0,23947
22.0,23969
20.0,23989
18.0,24007
14.0,24021
23.0,24044
35.0,24079
13.0,24092
38.0,24130
21.0,24151
17.0,24168
27.0,24195
22.0,24217
17.0,24234
10.0,24244
17.0,24261
17.0,24278
51.0,24329
39.0,24368
34.0,24402
26.0,24428
16.0,24444
19.0,24463
14.0,24477
18.0,24495
25.0,24520
20.0,24540
27.0,24567
25.0,24592
28.0,24620
28.0,24648
28.0,24676
11.0,24687
14.0,24701
15.0,24716
19.0,24735
27.0,24762
12.0,24774
14.0,24788
28.0,24816
11.0,24827
46.0,24873
30.0,24903
13.0,24916
33.0,24949
11.0,24960
9.0,24969
40.0,25009
26.0,25035
18.0,25053
17.0,25070
25.0,25095
30.0,25125
10.0,25135
34.0,25169
10.0,25179
10.0,25189
11.0,25200
28.0,25228
13.0,25241
23.0,25264
14.0,25278
21.0,25299
16.0,25315
41.0,25356
32.0,25388
12.0,25400
18.0,25418
17.0,25435
23.0,25458
13.0,25471
30.0,25501
29.0,25530
30.0,25560
14.0,25574
16.0,25590
15.0,25605
43.0,25648
10.0,25658
14.0,25672
23.0,25695
36.0,25731
24.0,25755
20.0,25775
28.0,25803
13.0,25816
21.0,25837
11.0,25848
23.0,25871
41.0,25912
21.0,25933
19.0,25952
13.0,25965
20.0,25985
12.0,25997
24.0,26021
32.0,26053
15.0,26068
27.0,26095
43.0,26138
19.0,26157
45.0,26202
28.0,26230
23.0,26253
34.0,26287
22.0,26309
31.0,26340
17.0,26357
15.0,26372
39.0,26411
46.0,26457
17.0,26474
32.0,26506
45.0,26551
43.0,26594
16.0,26610
15.0,26625
26.0,26651
29.0,26680
40.0,26720
45.0,26765
23.0,26788
14.0,26802
10.0,26812
17.0,26829
29.0,26858
12.0,26870
23.0,26893
11.0,26904
16.0,26920
25.0,26945
14.0,26959
15.0,26974
15.0,26989
25.0,27014
16.0,27030
34.0,27064
14.0,27078
78.0,27156
12.0,27168
30.0,27198
27.0,27225
16.0,27241
18.0,27259
41.0,27300
10.0,27310
29.0,27339
37.0,27376
12.0,27388
29.0,27417
33.0,27450
12.0,27462
13.0,27475
38.0,27513
26.0,27539
14.0,27553
13.0,27566
47.0,27613
25.0,27638
20.0,27658
13.0,27671
24.0,27695
17.0,27712
12.0,27724
30.0,27754
15.0,27769
20.0,27789
40.0,27829
27.0,27856
20.0,27876
10.0,27886
28.0,27914
17.0,27931
17.0,27948
16.0,27964
17.0,27981
15.0,27996
11.0,28007
14.0,28021
19.0,28040
12.0,28052
19.0,28071
51.0,28122
29.0,28151
77.0,28228
27.0,28255
49.0,28304
47.0,28351
27.0,28378
20.0,28398
15.0,28413
12.0,28425
35.0,28460
10.0,28470
18.0,28488
10.0,28498
11.0,28509
16.0,28525
49.0,28574
12.0,28586
26.0,28612
15.0,28627
19.0,28646
23.0,28669
22.0,28691
80.0,28771
33.0,28804
15.0,28819
23.0,28842
14.0,28856
32.0,28888
30.0,28918
18.0,28936
16.0,28952
23.0,28975
16.0,28991
34.0,29025
26.0,29051
25.0,29076
40.0,29116
29.0,29145
34.0,29179
20.0,29199
38.0,29237
18.0,29255
15.0,29270
40.0,29310
27.0,29337
13.0,29350
12.0,29362
14.0,29376
25.0,29401
31.0,29432
9.0,29441
16.0,29457
16.0,29473
20.0,29493
12.0,29505
12.0,29517
23.0,29540
26.0,29566
25.0,29591
19.0,29610
28.0,29638
28.0,29666
20.0,29686
23.0,29709
11.0,29720
15.0,29735
26.0,29761
24.0,29785
27.0,29812
19.0,29831
11.0,29842
12.0,29854
26.0,29880
9.0,29889
12.0,29901
14.0,29915
18.0,29933
15.0,29948
34.0,29982
14.0,29996
20.0,30016
37.0,30053
17.0,30070
46.0,30116
36.0,30152
19.0,30171
20.0,30191
36.0,30227
24.0,30251
32.0,30283
28.0,30311
12.0,30323
26.0,30349
9.0,30358
10.0,30368
43.0,30411
27.0,30438
16.0,30454
13.0,30467
15.0,30482
40.0,30522
15.0,30537
21.0,30558
18.0,30576
12.0,30588
68.0,30656
18.0,30674
25.0,30699
15.0,30714
16.0,30730
35.0,30765
41.0,30806
14.0,30820
16.0,30836
10.0,30846
11.0,30857
16.0,30873
18.0,30891
15.0,30906
23.0,30929
21.0,30950
24.0,30974
10.0,30984
13.0,30997
19.0,31016
18.0,31034
22.0,31056
14.0,31070
16.0,31086
15.0,31101
16.0,31117
16.0,31133
13.0,31146
14.0,31160
30.0,31190
11.0,31201
13.0,31214
11.0,31225
31.0,31256
12.0,31268
12.0,31280
14.0,31294
23.0,31317
40.0,31357
16.0,31373
34.0,31407
31.0,31438
15.0,31453
11.0,31464
14.0,31478
60.0,31538
11.0,31549
24.0,31573
23.0,31596
18.0,31614
12.0,31626
39.0,31665
20.0,31685
17.0,31702
39.0,31741
28.0,31769
14.0,31783
26.0,31809
15.0,31824
14.0,31838
18.0,31856
10.0,31866
58.0,31924
14.0,31938
14.0,31952
33.0,31985
18.0,32003
12.0,32015
11.0,32026
10.0,32036
39.0,32075
26.0,32101
13.0,32114
48.0,32162
14.0,32176
15.0,32191
12.0,32203
13.0,32216
26.0,32242
48.0,32290
34.0,32324
23.0,32347
13.0,32360
31.0,32391
23.0,32414
15.0,32429
15.0,32444
27.0,32471
76.0,32547
45.0,32592
13.0,32605
23.0,32628
18.0,32646
53.0,32699
34.0,32733
30.0,32763
11.0,32774
26.0,32800
25.0,32825
19.0,32844
31.0,32875
17.0,32892
16.0,32908
23.0,32931
22.0,32953
81.0,33034
13.0,33047
29.0,33076
49.0,33125
13.0,33138
13.0,33151
31.0,33182
69.0,33251
21.0,33272
25.0,33297
12.0,33309
103.0,33412
28.0,33440
58.0,33498
44.0,33542
23.0,33565
41.0,33606
25.0,33631
41.0,33672
13.0,33685
27.0,33712
30.0,33742
16.0,33758
15.0,33773
41.0,33814
12.0,33826
31.0,33857
22.0,33879
24.0,33903
13.0,33916
41.0,33957
15.0,33972
25.0,33997
14.0,34011
15.0,34026
42.0,34068
12.0,34080
