Episode_Return,env_step
56.0,56
12.0,68
46.0,114
42.0,156
20.0,176
10.0,186
24.0,210
10.0,220
28.0,248
13.0,261
28.0,289
24.0,313
14.0,327
19.0,346
11.0,357
40.0,397
13.0,410
17.0,427
25.0,452
15.0,467
35.0,502
12.0,514
16.0,530
24.0,554
22.0,576
24.0,600
14.0,614
16.0,630
17.0,647
12.0,659
56.0,715
39.0,754
24.0,778
19.0,797
19.0,816
52.0,868
16.0,884
31.0,915
28.0,943
16.0,959
42.0,1001
33.0,1034
16.0,1050
24.0,1074
59.0,1133
15.0,1148
11.0,1159
50.0,1209
19.0,1228
12.0,1240
22.0,1262
89.0,1351
11.0,1362
19.0,1381
18.0,1399
14.0,1413
22.0,1435
26.0,1461
11.0,1472
24.0,1496
14.0,1510
32.0,1542
44.0,1586
18.0,1604
12.0,1616
9.0,1625
27.0,1652
12.0,1664
13.0,1677
14.0,1691
10.0,1701
24.0,1725
31.0,1756
18.0,1774
30.0,1804
26.0,1830
28.0,1858
11.0,1869
26.0,1895
14.0,1909
11.0,1920
20.0,1940
20.0,1960
21.0,1981
12.0,1993
16.0,2009
12.0,2021
19.0,2040
11.0,2051
64.0,2115
17.0,2132
10.0,2142
15.0,2157
24.0,2181
15.0,2196
67.0,2263
20.0,2283
19.0,2302
17.0,2319
11.0,2330
25.0,2355
49.0,2404
44.0,2448
16.0,2464
24.0,2488
16.0,2504
13.0,2517
27.0,2544
16.0,2560
11.0,2571
20.0,2591
25.0,2616
9.0,2625
18.0,2643
17.0,2660
24.0,2684
22.0,2706
15.0,2721
14.0,2735
19.0,2754
26.0,2780
42.0,2822
18.0,2840
21.0,2861
51.0,2912
20.0,2932
41.0,2973
16.0,2989
28.0,3017
18.0,3035
14.0,3049
31.0,3080
25.0,3105
18.0,3123
20.0,3143
42.0,3185
17.0,3202
15.0,3217
24.0,3241
25.0,3266
13.0,3279
38.0,3317
17.0,3334
29.0,3363
29.0,3392
14.0,3406
26.0,3432
23.0,3455
76.0,3531
18.0,3549
19.0,3568
20.0,3588
26.0,3614
31.0,3645
35.0,3680
30.0,3710
48.0,3758
21.0,3779
10.0,3789
23.0,3812
15.0,3827
9.0,3836
36.0,3872
24.0,3896
11.0,3907
33.0,3940
11.0,3951
56.0,4007
19.0,4026
20.0,4046
10.0,4056
10.0,4066
19.0,4085
15.0,4100
17.0,4117
12.0,4129
31.0,4160
23.0,4183
14.0,4197
19.0,4216
27.0,4243
20.0,4263
12.0,4275
11.0,4286
17.0,4303
20.0,4323
16.0,4339
106.0,4445
23.0,4468
65.0,4533
23.0,4556
20.0,4576
15.0,4591
16.0,4607
24.0,4631
19.0,4650
14.0,4664
18.0,4682
40.0,4722
16.0,4738
54.0,4792
12.0,4804
12.0,4816
23.0,4839
57.0,4896
23.0,4919
89.0,5008
15.0,5023
23.0,5046
26.0,5072
14.0,5086
22.0,5108
15.0,5123
29.0,5152
18.0,5170
18.0,5188
40.0,5228
26.0,5254
39.0,5293
21.0,5314
10.0,5324
15.0,5339
16.0,5355
15.0,5370
18.0,5388
16.0,5404
28.0,5432
14.0,5446
11.0,5457
20.0,5477
19.0,5496
11.0,5507
22.0,5529
63.0,5592
14.0,5606
15.0,5621
18.0,5639
38.0,5677
24.0,5701
17.0,5718
10.0,5728
17.0,5745
49.0,5794
13.0,5807
12.0,5819
19.0,5838
19.0,5857
35.0,5892
22.0,5914
13.0,5927
29.0,5956
15.0,5971
32.0,6003
33.0,6036
24.0,6060
19.0,6079
17.0,6096
31.0,6127
10.0,6137
41.0,6178
29.0,6207
13.0,6220
25.0,6245
17.0,6262
17.0,6279
37.0,6316
28.0,6344
20.0,6364
22.0,6386
19.0,6405
18.0,6423
23.0,6446
32.0,6478
42.0,6520
47.0,6567
16.0,6583
34.0,6617
16.0,6633
27.0,6660
11.0,6671
18.0,6689
22.0,6711
12.0,6723
15.0,6738
17.0,6755
16.0,6771
10.0,6781
10.0,6791
17.0,6808
12.0,6820
24.0,6844
20.0,6864
11.0,6875
12.0,6887
12.0,6899
14.0,6913
26.0,6939
24.0,6963
15.0,6978
17.0,6995
10.0,7005
23.0,7028
14.0,7042
18.0,7060
44.0,7104
15.0,7119
45.0,7164
12.0,7176
15.0,7191
28.0,7219
17.0,7236
11.0,7247
39.0,7286
16.0,7302
26.0,7328
15.0,7343
15.0,7358
10.0,7368
15.0,7383
13.0,7396
23.0,7419
23.0,7442
14.0,7456
11.0,7467
14.0,7481
41.0,7522
56.0,7578
12.0,7590
18.0,7608
26.0,7634
36.0,7670
33.0,7703
11.0,7714
32.0,7746
22.0,7768
25.0,7793
25.0,7818
30.0,7848
10.0,7858
13.0,7871
10.0,7881
15.0,7896
15.0,7911
21.0,7932
18.0,7950
13.0,7963
12.0,7975
13.0,7988
24.0,8012
15.0,8027
20.0,8047
44.0,8091
21.0,8112
9.0,8121
49.0,8170
19.0,8189
52.0,8241
15.0,8256
11.0,8267
18.0,8285
28.0,8313
28.0,8341
20.0,8361
59.0,8420
23.0,8443
14.0,8457
19.0,8476
19.0,8495
30.0,8525
24.0,8549
22.0,8571
24.0,8595
19.0,8614
16.0,8630
18.0,8648
27.0,8675
15.0,8690
15.0,8705
23.0,8728
28.0,8756
9.0,8765
25.0,8790
11.0,8801
27.0,8828
13.0,8841
36.0,8877
11.0,8888
31.0,8919
17.0,8936
17.0,8953
21.0,8974
26.0,9000
22.0,9022
13.0,9035
25.0,9060
40.0,9100
44.0,9144
21.0,9165
20.0,9185
28.0,9213
12.0,9225
42.0,9267
17.0,9284
27.0,9311
37.0,9348
16.0,9364
27.0,9391
16.0,9407
35.0,9442
12.0,9454
40.0,9494
21.0,9515
20.0,9535
12.0,9547
17.0,9564
13.0,9577
33.0,9610
14.0,9624
21.0,9645
17.0,9662
25.0,9687
20.0,9707
20.0,9727
17.0,9744
12.0,9756
11.0,9767
18.0,9785
21.0,9806
19.0,9825
17.0,9842
35.0,9877
18.0,9895
10.0,9905
25.0,9930
17.0,9947
15.0,9962
20.0,9982
11.0,9993
17.0,10010
11.0,10021
17.0,10038
24.0,10062
48.0,10110
31.0,10141
16.0,10157
31.0,10188
25.0,10213
24.0,10237
40.0,10277
17.0,10294
18.0,10312
25.0,10337
26.0,10363
9.0,10372
22.0,10394
15.0,10409
40.0,10449
14.0,10463
13.0,10476
14.0,10490
15.0,10505
44.0,10549
17.0,10566
19.0,10585
59.0,10644
9.0,10653
14.0,10667
40.0,10707
73.0,10780
10.0,10790
38.0,10828
10.0,10838
14.0,10852
28.0,10880
34.0,10914
21.0,10935
19.0,10954
42.0,10996
8.0,11004
10.0,11014
28.0,11042
27.0,11069
14.0,11083
18.0,11101
24.0,11125
12.0,11137
12.0,11149
25.0,11174
25.0,11199
14.0,11213
33.0,11246
30.0,11276
23.0,11299
12.0,11311
14.0,11325
31.0,11356
17.0,11373
14.0,11387
19.0,11406
17.0,11423
21.0,11444
23.0,11467
17.0,11484
14.0,11498
34.0,11532
31.0,11563
30.0,11593
13.0,11606
77.0,11683
23.0,11706
13.0,11719
34.0,11753
39.0,11792
9.0,11801
38.0,11839
19.0,11858
13.0,11871
17.0,11888
20.0,11908
21.0,11929
29.0,11958
23.0,11981
25.0,12006
16.0,12022
23.0,12045
54.0,12099
25.0,12124
20.0,12144
22.0,12166
14.0,12180
11.0,12191
21.0,12212
37.0,12249
14.0,12263
23.0,12286
24.0,12310
20.0,12330
10.0,12340
36.0,12376
19.0,12395
13.0,12408
27.0,12435
16.0,12451
41.0,12492
30.0,12522
21.0,12543
47.0,12590
15.0,12605
10.0,12615
15.0,12630
28.0,12658
22.0,12680
25.0,12705
16.0,12721
26.0,12747
37.0,12784
37.0,12821
16.0,12837
27.0,12864
15.0,12879
31.0,12910
45.0,12955
19.0,12974
43.0,13017
28.0,13045
36.0,13081
14.0,13095
17.0,13112
12.0,13124
27.0,13151
32.0,13183
16.0,13199
17.0,13216
26.0,13242
16.0,13258
21.0,13279
14.0,13293
30.0,13323
13.0,13336
10.0,13346
17.0,13363
14.0,13377
24.0,13401
29.0,13430
45.0,13475
21.0,13496
11.0,13507
88.0,13595
11.0,13606
12.0,13618
17.0,13635
25.0,13660
16.0,13676
46.0,13722
18.0,13740
12.0,13752
20.0,13772
15.0,13787
18.0,13805
28.0,13833
20.0,13853
17.0,13870
15.0,13885
11.0,13896
16.0,13912
23.0,13935
12.0,13947
44.0,13991
17.0,14008
25.0,14033
19.0,14052
12.0,14064
11.0,14075
19.0,14094
32.0,14126
15.0,14141
45.0,14186
13.0,14199
44.0,14243
15.0,14258
42.0,14300
16.0,14316
27.0,14343
29.0,14372
45.0,14417
18.0,14435
23.0,14458
25.0,14483
21.0,14504
20.0,14524
27.0,14551
14.0,14565
52.0,14617
13.0,14630
14.0,14644
25.0,14669
12.0,14681
67.0,14748
13.0,14761
31.0,14792
13.0,14805
10.0,14815
13.0,14828
15.0,14843
19.0,14862
11.0,14873
12.0,14885
20.0,14905
19.0,14924
10.0,14934
11.0,14945
12.0,14957
29.0,14986
21.0,15007
28.0,15035
22.0,15057
23.0,15080
27.0,15107
36.0,15143
25.0,15168
18.0,15186
15.0,15201
18.0,15219
30.0,15249
11.0,15260
24.0,15284
36.0,15320
15.0,15335
18.0,15353
36.0,15389
20.0,15409
17.0,15426
13.0,15439
22.0,15461
15.0,15476
14.0,15490
14.0,15504
20.0,15524
44.0,15568
15.0,15583
17.0,15600
69.0,15669
14.0,15683
17.0,15700
14.0,15714
52.0,15766
79.0,15845
19.0,15864
23.0,15887
34.0,15921
22.0,15943
25.0,15968
42.0,16010
26.0,16036
14.0,16050
17.0,16067
48.0,16115
30.0,16145
11.0,16156
11.0,16167
15.0,16182
36.0,16218
14.0,16232
20.0,16252
20.0,16272
26.0,16298
13.0,16311
16.0,16327
76.0,16403
13.0,16416
21.0,16437
21.0,16458
13.0,16471
11.0,16482
27.0,16509
13.0,16522
83.0,16605
11.0,16616
10.0,16626
14.0,16640
17.0,16657
35.0,16692
21.0,16713
15.0,16728
27.0,16755
28.0,16783
25.0,16808
15.0,16823
37.0,16860
22.0,16882
11.0,16893
15.0,16908
11.0,16919
11.0,16930
13.0,16943
32.0,16975
22.0,16997
21.0,17018
18.0,17036
17.0,17053
21.0,17074
43.0,17117
25.0,17142
28.0,17170
15.0,17185
30.0,17215
9.0,17224
21.0,17245
35.0,17280
18.0,17298
33.0,17331
21.0,17352
44.0,17396
23.0,17419
18.0,17437
16.0,17453
16.0,17469
24.0,17493
25.0,17518
12.0,17530
16.0,17546
24.0,17570
14.0,17584
22.0,17606
19.0,17625
22.0,17647
60.0,17707
24.0,17731
43.0,17774
25.0,17799
12.0,17811
17.0,17828
15.0,17843
24.0,17867
45.0,17912
30.0,17942
20.0,17962
17.0,17979
32.0,18011
49.0,18060
13.0,18073
21.0,18094
16.0,18110
17.0,18127
17.0,18144
18.0,18162
13.0,18175
10.0,18185
32.0,18217
61.0,18278
19.0,18297
16.0,18313
27.0,18340
18.0,18358
14.0,18372
102.0,18474
14.0,18488
16.0,18504
27.0,18531
24.0,18555
23.0,18578
23.0,18601
10.0,18611
20.0,18631
18.0,18649
15.0,18664
25.0,18689
35.0,18724
19.0,18743
15.0,18758
39.0,18797
17.0,18814
13.0,18827
15.0,18842
12.0,18854
51.0,18905
11.0,18916
10.0,18926
42.0,18968
26.0,18994
11.0,19005
15.0,19020
37.0,19057
22.0,19079
20.0,19099
38.0,19137
18.0,19155
11.0,19166
23.0,19189
18.0,19207
17.0,19224
30.0,19254
14.0,19268
17.0,19285
31.0,19316
27.0,19343
14.0,19357
19.0,19376
25.0,19401
16.0,19417
10.0,19427
30.0,19457
18.0,19475
36.0,19511
34.0,19545
27.0,19572
13.0,19585
42.0,19627
10.0,19637
15.0,19652
12.0,19664
11.0,19675
34.0,19709
12.0,19721
23.0,19744
13.0,19757
45.0,19802
21.0,19823
22.0,19845
12.0,19857
46.0,19903
22.0,19925
14.0,19939
15.0,19954
34.0,19988
23.0,20011
29.0,20040
36.0,20076
20.0,20096
31.0,20127
23.0,20150
16.0,20166
19.0,20185
24.0,20209
18.0,20227
30.0,20257
57.0,20314
10.0,20324
36.0,20360
23.0,20383
31.0,20414
16.0,20430
43.0,20473
30.0,20503
18.0,20521
17.0,20538
19.0,20557
25.0,20582
13.0,20595
29.0,20624
20.0,20644
34.0,20678
32.0,20710
21.0,20731
46.0,20777
14.0,20791
12.0,20803
11.0,20814
19.0,20833
9.0,20842
39.0,20881
10.0,20891
17.0,20908
19.0,20927
19.0,20946
30.0,20976
18.0,20994
34.0,21028
17.0,21045
55.0,21100
10.0,21110
30.0,21140
35.0,21175
50.0,21225
19.0,21244
21.0,21265
14.0,21279
19.0,21298
29.0,21327
12.0,21339
55.0,21394
24.0,21418
23.0,21441
67.0,21508
37.0,21545
41.0,21586
15.0,21601
14.0,21615
40.0,21655
17.0,21672
83.0,21755
23.0,21778
16.0,21794
29.0,21823
15.0,21838
16.0,21854
21.0,21875
30.0,21905
16.0,21921
19.0,21940
13.0,21953
15.0,21968
15.0,21983
16.0,21999
13.0,22012
21.0,22033
28.0,22061
19.0,22080
23.0,22103
26.0,22129
19.0,22148
20.0,22168
15.0,22183
28.0,22211
25.0,22236
18.0,22254
12.0,22266
32.0,22298
17.0,22315
18.0,22333
13.0,22346
34.0,22380
43.0,22423
12.0,22435
15.0,22450
13.0,22463
12.0,22475
18.0,22493
13.0,22506
12.0,22518
19.0,22537
21.0,22558
19.0,22577
48.0,22625
28.0,22653
18.0,22671
25.0,22696
27.0,22723
17.0,22740
29.0,22769
13.0,22782
26.0,22808
70.0,22878
18.0,22896
11.0,22907
19.0,22926
18.0,22944
34.0,22978
23.0,23001
19.0,23020
14.0,23034
14.0,23048
33.0,23081
41.0,23122
16.0,23138
18.0,23156
18.0,23174
15.0,23189
20.0,23209
15.0,23224
14.0,23238
24.0,23262
17.0,23279
40.0,23319
10.0,23329
22.0,23351
26.0,23377
10.0,23387
11.0,23398
16.0,23414
19.0,23433
18.0,23451
14.0,23465
21.0,23486
18.0,23504
20.0,23524
16.0,23540
17.0,23557
13.0,23570
16.0,23586
11.0,23597
13.0,23610
14.0,23624
19.0,23643
14.0,23657
34.0,23691
41.0,23732
24.0,23756
15.0,23771
22.0,23793
13.0,23806
18.0,23824
45.0,23869
11.0,23880
94.0,23974
18.0,23992
12.0,24004
18.0,24022
45.0,24067
13.0,24080
17.0,24097
56.0,24153
69.0,24222
24.0,24246
123.0,24369
41.0,24410
13.0,24423
21.0,24444
17.0,24461
16.0,24477
15.0,24492
37.0,24529
16.0,24545
17.0,24562
22.0,24584
30.0,24614
51.0,24665
16.0,24681
18.0,24699
14.0,24713
25.0,24738
13.0,24751
22.0,24773
13.0,24786
24.0,24810
24.0,24834
18.0,24852
40.0,24892
20.0,24912
21.0,24933
23.0,24956
9.0,24965
30.0,24995
23.0,25018
16.0,25034
19.0,25053
18.0,25071
28.0,25099
17.0,25116
18.0,25134
28.0,25162
9.0,25171
12.0,25183
15.0,25198
27.0,25225
19.0,25244
13.0,25257
13.0,25270
31.0,25301
13.0,25314
20.0,25334
39.0,25373
35.0,25408
26.0,25434
33.0,25467
12.0,25479
29.0,25508
23.0,25531
15.0,25546
17.0,25563
14.0,25577
14.0,25591
14.0,25605
67.0,25672
23.0,25695
10.0,25705
12.0,25717
11.0,25728
18.0,25746
20.0,25766
13.0,25779
34.0,25813
17.0,25830
24.0,25854
15.0,25869
54.0,25923
27.0,25950
21.0,25971
12.0,25983
15.0,25998
82.0,26080
16.0,26096
17.0,26113
39.0,26152
23.0,26175
59.0,26234
30.0,26264
45.0,26309
37.0,26346
25.0,26371
31.0,26402
15.0,26417
17.0,26434
24.0,26458
18.0,26476
40.0,26516
63.0,26579
17.0,26596
59.0,26655
27.0,26682
19.0,26701
16.0,26717
23.0,26740
33.0,26773
19.0,26792
22.0,26814
21.0,26835
12.0,26847
16.0,26863
27.0,26890
15.0,26905
13.0,26918
30.0,26948
58.0,27006
64.0,27070
8.0,27078
58.0,27136
24.0,27160
15.0,27175
62.0,27237
11.0,27248
16.0,27264
13.0,27277
15.0,27292
27.0,27319
14.0,27333
16.0,27349
10.0,27359
37.0,27396
13.0,27409
24.0,27433
37.0,27470
54.0,27524
10.0,27534
16.0,27550
13.0,27563
14.0,27577
26.0,27603
16.0,27619
15.0,27634
48.0,27682
35.0,27717
13.0,27730
9.0,27739
17.0,27756
20.0,27776
18.0,27794
21.0,27815
22.0,27837
14.0,27851
50.0,27901
16.0,27917
24.0,27941
40.0,27981
18.0,27999
28.0,28027
47.0,28074
50.0,28124
19.0,28143
34.0,28177
11.0,28188
19.0,28207
17.0,28224
12.0,28236
21.0,28257
44.0,28301
38.0,28339
21.0,28360
29.0,28389
15.0,28404
41.0,28445
15.0,28460
15.0,28475
21.0,28496
16.0,28512
17.0,28529
18.0,28547
35.0,28582
12.0,28594
36.0,28630
57.0,28687
35.0,28722
61.0,28783
18.0,28801
17.0,28818
57.0,28875
15.0,28890
25.0,28915
14.0,28929
27.0,28956
23.0,28979
35.0,29014
13.0,29027
24.0,29051
23.0,29074
21.0,29095
25.0,29120
18.0,29138
20.0,29158
17.0,29175
26.0,29201
48.0,29249
9.0,29258
9.0,29267
15.0,29282
23.0,29305
31.0,29336
14.0,29350
15.0,29365
9.0,29374
34.0,29408
18.0,29426
15.0,29441
13.0,29454
15.0,29469
20.0,29489
30.0,29519
21.0,29540
29.0,29569
15.0,29584
24.0,29608
61.0,29669
48.0,29717
17.0,29734
14.0,29748
22.0,29770
29.0,29799
18.0,29817
30.0,29847
55.0,29902
20.0,29922
25.0,29947
28.0,29975
30.0,30005
28.0,30033
15.0,30048
13.0,30061
38.0,30099
14.0,30113
26.0,30139
13.0,30152
10.0,30162
27.0,30189
40.0,30229
44.0,30273
28.0,30301
9.0,30310
12.0,30322
15.0,30337
21.0,30358
8.0,30366
39.0,30405
14.0,30419
14.0,30433
16.0,30449
25.0,30474
23.0,30497
15.0,30512
28.0,30540
31.0,30571
9.0,30580
16.0,30596
13.0,30609
48.0,30657
24.0,30681
17.0,30698
18.0,30716
11.0,30727
19.0,30746
35.0,30781
12.0,30793
43.0,30836
9.0,30845
10.0,30855
25.0,30880
42.0,30922
17.0,30939
10.0,30949
18.0,30967
50.0,31017
11.0,31028
18.0,31046
19.0,31065
13.0,31078
26.0,31104
30.0,31134
18.0,31152
16.0,31168
24.0,31192
16.0,31208
21.0,31229
59.0,31288
27.0,31315
16.0,31331
14.0,31345
29.0,31374
22.0,31396
28.0,31424
16.0,31440
13.0,31453
13.0,31466
13.0,31479
23.0,31502
24.0,31526
23.0,31549
44.0,31593
51.0,31644
15.0,31659
44.0,31703
66.0,31769
19.0,31788
28.0,31816
25.0,31841
18.0,31859
8.0,31867
15.0,31882
21.0,31903
15.0,31918
13.0,31931
43.0,31974
36.0,32010
41.0,32051
22.0,32073
29.0,32102
10.0,32112
16.0,32128
40.0,32168
18.0,32186
17.0,32203
15.0,32218
25.0,32243
61.0,32304
15.0,32319
50.0,32369
34.0,32403
42.0,32445
11.0,32456
32.0,32488
24.0,32512
19.0,32531
26.0,32557
41.0,32598
27.0,32625
57.0,32682
13.0,32695
16.0,32711
23.0,32734
24.0,32758
21.0,32779
18.0,32797
15.0,32812
21.0,32833
60.0,32893
15.0,32908
21.0,32929
17.0,32946
31.0,32977
18.0,32995
33.0,33028
18.0,33046
19.0,33065
27.0,33092
26.0,33118
13.0,33131
10.0,33141
11.0,33152
42.0,33194
27.0,33221
31.0,33252
20.0,33272
25.0,33297
13.0,33310
18.0,33328
33.0,33361
25.0,33386
25.0,33411
46.0,33457
18.0,33475
46.0,33521
51.0,33572
38.0,33610
16.0,33626
13.0,33639
42.0,33681
24.0,33705
35.0,33740
10.0,33750
21.0,33771
9.0,33780
18.0,33798
40.0,33838
50.0,33888
32.0,33920
19.0,33939
24.0,33963
9.0,33972
20.0,33992
23.0,34015
25.0,34040
27.0,34067
11.0,34078
13.0,34091
34.0,34125
11.0,34136
29.0,34165
33.0,34198
10.0,34208
18.0,34226
32.0,34258
26.0,34284
12.0,34296
75.0,34371
10.0,34381
33.0,34414
9.0,34423
26.0,34449
34.0,34483
31.0,34514
45.0,34559
56.0,34615
14.0,34629
37.0,34666
12.0,34678
24.0,34702
25.0,34727
14.0,34741
11.0,34752
20.0,34772
21.0,34793
19.0,34812
72.0,34884
9.0,34893
20.0,34913
11.0,34924
25.0,34949
24.0,34973
12.0,34985
22.0,35007
20.0,35027
13.0,35040
9.0,35049
15.0,35064
13.0,35077
33.0,35110
53.0,35163
18.0,35181
16.0,35197
24.0,35221
50.0,35271
14.0,35285
36.0,35321
18.0,35339
19.0,35358
25.0,35383
35.0,35418
14.0,35432
14.0,35446
12.0,35458
16.0,35474
15.0,35489
15.0,35504
38.0,35542
16.0,35558
46.0,35604
17.0,35621
14.0,35635
16.0,35651
15.0,35666
34.0,35700
13.0,35713
36.0,35749
31.0,35780
25.0,35805
14.0,35819
10.0,35829
16.0,35845
14.0,35859
19.0,35878
28.0,35906
24.0,35930
13.0,35943
17.0,35960
