Episode_Return,env_step
26.0,26
10.0,36
14.0,50
10.0,60
47.0,107
20.0,127
14.0,141
22.0,163
26.0,189
9.0,198
25.0,223
46.0,269
23.0,292
19.0,311
10.0,321
76.0,397
25.0,422
31.0,453
16.0,469
23.0,492
16.0,508
35.0,543
11.0,554
11.0,565
44.0,609
10.0,619
12.0,631
32.0,663
16.0,679
17.0,696
23.0,719
10.0,729
48.0,777
26.0,803
21.0,824
18.0,842
30.0,872
15.0,887
15.0,902
12.0,914
14.0,928
15.0,943
12.0,955
13.0,968
13.0,981
13.0,994
14.0,1008
19.0,1027
39.0,1066
18.0,1084
15.0,1099
33.0,1132
14.0,1146
13.0,1159
21.0,1180
12.0,1192
22.0,1214
20.0,1234
26.0,1260
24.0,1284
18.0,1302
56.0,1358
13.0,1371
23.0,1394
24.0,1418
17.0,1435
18.0,1453
11.0,1464
22.0,1486
17.0,1503
47.0,1550
16.0,1566
16.0,1582
17.0,1599
30.0,1629
23.0,1652
53.0,1705
44.0,1749
36.0,1785
13.0,1798
29.0,1827
11.0,1838
16.0,1854
16.0,1870
22.0,1892
29.0,1921
24.0,1945
19.0,1964
14.0,1978
20.0,1998
23.0,2021
24.0,2045
21.0,2066
16.0,2082
16.0,2098
10.0,2108
26.0,2134
10.0,2144
28.0,2172
27.0,2199
16.0,2215
39.0,2254
51.0,2305
44.0,2349
14.0,2363
12.0,2375
12.0,2387
17.0,2404
19.0,2423
18.0,2441
11.0,2452
17.0,2469
15.0,2484
36.0,2520
26.0,2546
15.0,2561
13.0,2574
23.0,2597
11.0,2608
28.0,2636
19.0,2655
13.0,2668
19.0,2687
21.0,2708
38.0,2746
19.0,2765
12.0,2777
11.0,2788
18.0,2806
14.0,2820
9.0,2829
19.0,2848
25.0,2873
13.0,2886
22.0,2908
29.0,2937
17.0,2954
13.0,2967
17.0,2984
23.0,3007
14.0,3021
14.0,3035
15.0,3050
19.0,3069
10.0,3079
18.0,3097
16.0,3113
17.0,3130
15.0,3145
68.0,3213
14.0,3227
43.0,3270
13.0,3283
8.0,3291
16.0,3307
30.0,3337
16.0,3353
14.0,3367
10.0,3377
33.0,3410
14.0,3424
21.0,3445
23.0,3468
67.0,3535
25.0,3560
17.0,3577
24.0,3601
35.0,3636
11.0,3647
18.0,3665
18.0,3683
17.0,3700
30.0,3730
12.0,3742
33.0,3775
58.0,3833
25.0,3858
34.0,3892
22.0,3914
31.0,3945
28.0,3973
14.0,3987
22.0,4009
30.0,4039
19.0,4058
15.0,4073
24.0,4097
27.0,4124
38.0,4162
35.0,4197
32.0,4229
14.0,4243
15.0,4258
15.0,4273
32.0,4305
12.0,4317
29.0,4346
19.0,4365
11.0,4376
17.0,4393
18.0,4411
12.0,4423
20.0,4443
19.0,4462
42.0,4504
9.0,4513
32.0,4545
13.0,4558
12.0,4570
10.0,4580
12.0,4592
25.0,4617
13.0,4630
10.0,4640
14.0,4654
24.0,4678
32.0,4710
11.0,4721
26.0,4747
19.0,4766
12.0,4778
32.0,4810
23.0,4833
19.0,4852
17.0,4869
22.0,4891
26.0,4917
17.0,4934
11.0,4945
11.0,4956
45.0,5001
30.0,5031
16.0,5047
26.0,5073
60.0,5133
21.0,5154
15.0,5169
18.0,5187
27.0,5214
34.0,5248
15.0,5263
28.0,5291
16.0,5307
25.0,5332
27.0,5359
20.0,5379
35.0,5414
33.0,5447
13.0,5460
28.0,5488
33.0,5521
12.0,5533
16.0,5549
17.0,5566
16.0,5582
21.0,5603
17.0,5620
24.0,5644
20.0,5664
13.0,5677
10.0,5687
21.0,5708
19.0,5727
20.0,5747
28.0,5775
9.0,5784
14.0,5798
21.0,5819
15.0,5834
12.0,5846
26.0,5872
19.0,5891
20.0,5911
10.0,5921
17.0,5938
10.0,5948
11.0,5959
13.0,5972
23.0,5995
9.0,6004
20.0,6024
10.0,6034
17.0,6051
20.0,6071
15.0,6086
54.0,6140
28.0,6168
19.0,6187
67.0,6254
14.0,6268
10.0,6278
22.0,6300
42.0,6342
11.0,6353
10.0,6363
21.0,6384
61.0,6445
18.0,6463
46.0,6509
38.0,6547
9.0,6556
28.0,6584
12.0,6596
29.0,6625
36.0,6661
11.0,6672
17.0,6689
11.0,6700
36.0,6736
26.0,6762
21.0,6783
72.0,6855
22.0,6877
19.0,6896
24.0,6920
62.0,6982
20.0,7002
26.0,7028
16.0,7044
41.0,7085
11.0,7096
29.0,7125
44.0,7169
39.0,7208
20.0,7228
18.0,7246
15.0,7261
41.0,7302
49.0,7351
12.0,7363
36.0,7399
12.0,7411
12.0,7423
21.0,7444
24.0,7468
10.0,7478
60.0,7538
16.0,7554
23.0,7577
23.0,7600
15.0,7615
23.0,7638
12.0,7650
11.0,7661
21.0,7682
25.0,7707
58.0,7765
13.0,7778
14.0,7792
33.0,7825
20.0,7845
53.0,7898
37.0,7935
18.0,7953
15.0,7968
19.0,7987
8.0,7995
12.0,8007
26.0,8033
19.0,8052
11.0,8063
13.0,8076
20.0,8096
13.0,8109
43.0,8152
25.0,8177
16.0,8193
60.0,8253
24.0,8277
29.0,8306
16.0,8322
28.0,8350
40.0,8390
25.0,8415
40.0,8455
13.0,8468
15.0,8483
30.0,8513
55.0,8568
34.0,8602
9.0,8611
26.0,8637
13.0,8650
9.0,8659
29.0,8688
50.0,8738
17.0,8755
70.0,8825
35.0,8860
34.0,8894
20.0,8914
17.0,8931
27.0,8958
20.0,8978
36.0,9014
10.0,9024
35.0,9059
20.0,9079
37.0,9116
22.0,9138
15.0,9153
32.0,9185
28.0,9213
10.0,9223
27.0,9250
24.0,9274
36.0,9310
19.0,9329
23.0,9352
25.0,9377
16.0,9393
14.0,9407
13.0,9420
42.0,9462
12.0,9474
24.0,9498
14.0,9512
14.0,9526
36.0,9562
22.0,9584
45.0,9629
32.0,9661
83.0,9744
11.0,9755
12.0,9767
11.0,9778
14.0,9792
20.0,9812
10.0,9822
10.0,9832
17.0,9849
15.0,9864
20.0,9884
11.0,9895
12.0,9907
26.0,9933
19.0,9952
12.0,9964
22.0,9986
16.0,10002
20.0,10022
28.0,10050
28.0,10078
14.0,10092
23.0,10115
12.0,10127
16.0,10143
15.0,10158
18.0,10176
14.0,10190
23.0,10213
15.0,10228
26.0,10254
21.0,10275
16.0,10291
9.0,10300
12.0,10312
14.0,10326
15.0,10341
21.0,10362
20.0,10382
15.0,10397
34.0,10431
18.0,10449
20.0,10469
15.0,10484
82.0,10566
20.0,10586
11.0,10597
27.0,10624
18.0,10642
9.0,10651
26.0,10677
8.0,10685
23.0,10708
32.0,10740
42.0,10782
18.0,10800
9.0,10809
12.0,10821
30.0,10851
84.0,10935
36.0,10971
14.0,10985
17.0,11002
12.0,11014
18.0,11032
