Episode_Return,Episode_Return_smooth,env_step
19.0,18.8,188
22.0,19.299999999999997,210
27.0,20.8,237
42.0,23.599999999999998,279
16.0,24.1,295
28.0,24.1,323
10.0,23.900000000000002,333
30.0,25.1,363
22.0,25.1,385
19.0,23.5,404
22.0,23.8,426
9.0,22.499999999999996,435
39.0,23.699999999999996,474
35.0,23.0,509
33.0,24.7,542
21.0,24.000000000000004,563
38.0,26.800000000000004,601
15.0,25.300000000000004,616
9.0,24.0,625
10.0,23.099999999999998,635
18.0,22.7,653
26.0,24.400000000000002,679
51.0,25.600000000000005,730
14.0,23.500000000000004,744
13.0,21.5,757
28.0,22.200000000000003,785
28.0,21.200000000000003,813
26.0,22.300000000000004,839
22.0,23.6,861
14.0,24.0,875
27.0,24.9,902
24.0,24.7,926
15.0,21.099999999999998,941
16.0,21.3,957
39.0,23.9,996
10.0,22.099999999999998,1006
17.0,21.0,1023
14.0,19.799999999999997,1037
30.0,20.6,1067
69.0,26.1,1136
12.0,24.6,1148
13.0,23.5,1161
22.0,24.2,1183
26.0,25.200000000000003,1209
14.0,22.7,1223
13.0,23.000000000000004,1236
20.0,23.3,1256
51.0,27.0,1307
27.0,26.7,1334
17.0,21.5,1351
28.0,23.1,1379
15.0,23.3,1394
19.0,23.0,1413
17.0,22.099999999999998,1430
29.0,23.599999999999998,1459
16.0,23.9,1475
19.0,23.8,1494
19.0,20.599999999999998,1513
31.0,21.0,1544
15.0,20.8,1559
30.0,21.0,1589
42.0,23.7,1631
41.0,25.900000000000002,1672
13.0,25.500000000000004,1685
20.0,24.6,1705
24.0,25.400000000000002,1729
21.0,25.6,1750
11.0,24.8,1761
32.0,24.900000000000002,1793
15.0,24.900000000000002,1808
16.0,23.500000000000004,1824
29.0,22.2,1853
30.0,21.1,1883
10.0,20.8,1893
16.0,20.400000000000002,1909
16.0,19.600000000000005,1925
31.0,20.6,1956
36.0,23.100000000000005,1992
39.0,23.8,2031
16.0,23.9,2047
14.0,23.7,2061
17.0,22.499999999999996,2078
9.0,20.4,2087
15.0,20.9,2102
17.0,21.0,2119
18.0,21.2,2137
19.0,20.0,2156
30.0,19.4,2186
25.0,18.000000000000004,2211
12.0,17.6,2223
29.0,19.099999999999998,2252
12.0,18.599999999999998,2264
40.0,21.7,2304
28.0,23.0,2332
18.0,23.1,2350
28.0,24.1,2378
25.0,24.7,2403
12.0,22.900000000000002,2415
33.0,23.700000000000003,2448
14.0,23.900000000000002,2462
47.0,25.7,2509
33.0,27.799999999999997,2542
24.0,26.2,2566
12.0,24.6,2578
23.0,25.1,2601
18.0,24.1,2619
28.0,24.400000000000002,2647
15.0,24.700000000000003,2662
12.0,22.6,2674
33.0,24.5,2707
15.0,21.300000000000004,2722
29.0,20.9,2751
22.0,20.7,2773
10.0,20.5,2783
37.0,21.900000000000002,2820
10.0,21.1,2830
23.0,20.6,2853
11.0,20.200000000000003,2864
11.0,20.100000000000005,2875
20.0,18.8,2895
15.0,18.8,2910
20.0,17.900000000000002,2930
16.0,17.3,2946
10.0,17.3,2956
13.0,14.9,2969
16.0,15.5,2985
49.0,18.1,3034
37.0,20.7,3071
13.0,20.900000000000002,3084
12.0,20.1,3096
8.0,19.400000000000002,3104
29.0,20.3,3133
20.0,20.700000000000003,3153
16.0,21.300000000000004,3169
11.0,21.100000000000005,3180
15.0,21.000000000000007,3195
26.0,18.700000000000003,3221
26.0,17.6,3247
13.0,17.6,3260
25.0,18.9,3285
18.0,19.900000000000002,3303
22.0,19.2,3325
25.0,19.700000000000003,3350
31.0,21.200000000000003,3381
10.0,21.100000000000005,3391
14.0,21.0,3405
21.0,20.5,3426
9.0,18.8,3435
48.0,22.3,3483
12.0,21.0,3495
15.0,20.7,3510
18.0,20.3,3528
14.0,19.200000000000003,3542
19.0,18.0,3561
17.0,18.7,3578
30.0,20.3,3608
11.0,19.300000000000004,3619
14.0,19.8,3633
36.0,18.6,3669
18.0,19.200000000000003,3687
30.0,20.7,3717
32.0,22.1,3749
48.0,25.5,3797
12.0,24.8,3809
33.0,26.400000000000002,3842
28.0,26.200000000000003,3870
19.0,27.0,3889
21.0,27.700000000000003,3910
18.0,25.900000000000002,3928
14.0,25.5,3942
23.0,24.8,3965
14.0,23.0,3979
49.0,23.099999999999998,4028
10.0,22.9,4038
24.0,22.0,4062
19.0,21.099999999999998,4081
50.0,24.2,4131
58.0,27.900000000000002,4189
15.0,27.6,4204
20.0,28.200000000000003,4224
27.0,28.6,4251
10.0,28.2,4261
12.0,24.5,4273
39.0,27.4,4312
70.0,32.0,4382
21.0,32.199999999999996,4403
11.0,28.3,4414
32.0,25.700000000000003,4446
17.0,25.900000000000002,4463
15.0,25.400000000000002,4478
13.0,24.0,4491
15.0,24.5,4506
14.0,24.7,4520
11.0,21.9,4531
17.0,16.6,4548
30.0,17.5,4578
22.0,18.6,4600
34.0,18.799999999999997,4634
17.0,18.799999999999997,4651
26.0,19.900000000000002,4677
28.0,21.400000000000002,4705
19.0,21.8,4724
14.0,21.799999999999997,4738
25.0,23.199999999999996,4763
53.0,26.799999999999997,4816
11.0,24.900000000000002,4827
12.0,23.900000000000006,4839
29.0,23.4,4868
10.0,22.7,4878
11.0,21.200000000000003,4889
21.0,20.500000000000004,4910
40.0,22.6,4950
12.0,22.4,4962
13.0,21.2,4975
64.0,22.3,5039
31.0,24.300000000000004,5070
32.0,26.3,5102
23.0,25.700000000000003,5125
13.0,26.000000000000004,5138
13.0,26.200000000000003,5151
12.0,25.3,5163
30.0,24.3,5193
27.0,25.8,5220
18.0,26.3,5238
10.0,20.900000000000002,5248
13.0,19.099999999999998,5261
15.0,17.400000000000002,5276
13.0,16.400000000000002,5289
18.0,16.900000000000002,5307
10.0,16.600000000000005,5317
15.0,16.900000000000002,5332
15.0,15.400000000000002,5347
10.0,13.700000000000001,5357
17.0,13.6,5374
19.0,14.5,5393
9.0,14.100000000000001,5402
19.0,14.500000000000002,5421
42.0,17.400000000000002,5463
21.0,17.700000000000003,5484
24.0,19.1,5508
28.0,20.400000000000002,5536
21.0,21.000000000000004,5557
13.0,21.300000000000004,5570
34.0,23.0,5604
26.0,23.700000000000003,5630
12.0,24.0,5642
17.0,23.8,5659
16.0,21.200000000000003,5675
17.0,20.8,5692
32.0,21.599999999999998,5724
24.0,21.199999999999996,5748
26.0,21.7,5774
16.0,22.0,5790
18.0,20.400000000000002,5808
53.0,23.1,5861
24.0,24.299999999999997,5885
11.0,23.7,5896
20.0,24.1,5916
12.0,23.6,5928
18.0,22.200000000000003,5946
43.0,24.1,5989
11.0,22.6,6000
26.0,23.6,6026
34.0,25.200000000000003,6060
9.0,20.8,6069
12.0,19.599999999999998,6081
41.0,22.599999999999998,6122
18.0,22.400000000000002,6140
11.0,22.300000000000004,6151
20.0,22.500000000000004,6171
41.0,22.3,6212
18.0,23.000000000000004,6230
34.0,23.8,6264
12.0,21.599999999999998,6276
22.0,22.9,6298
30.0,24.7,6328
11.0,21.700000000000003,6339
30.0,22.900000000000002,6369
14.0,23.2,6383
18.0,23.0,6401
10.0,19.9,6411
14.0,19.5,6425
36.0,19.700000000000003,6461
27.0,21.200000000000003,6488
21.0,21.1,6509
37.0,21.8,6546
17.0,22.4,6563
36.0,23.0,6599
20.0,23.6,6619
27.0,24.5,6646
16.0,25.1,6662
13.0,25.000000000000004,6675
27.0,24.1,6702
15.0,22.900000000000002,6717
9.0,21.699999999999996,6726
35.0,21.5,6761
12.0,21.0,6773
14.0,18.8,6787
12.0,18.0,6799
32.0,18.5,6831
10.0,17.9,6841
45.0,21.1,6886
14.0,19.799999999999997,6900
15.0,19.8,6915
17.0,20.599999999999998,6932
17.0,18.8,6949
14.0,19.0,6963
39.0,21.499999999999996,7002
23.0,22.599999999999998,7025
23.0,21.7,7048
20.0,22.7,7068
24.0,20.6,7092
21.0,21.300000000000004,7113
21.0,21.900000000000006,7134
13.0,21.500000000000004,7147
10.0,20.800000000000004,7157
27.0,22.1,7184
24.0,20.599999999999998,7208
21.0,20.400000000000002,7229
19.0,20.0,7248
27.0,20.7,7275
11.0,19.400000000000002,7286
23.0,19.6,7309
60.0,23.5,7369
19.0,24.099999999999998,7388
32.0,26.3,7420
13.0,24.900000000000002,7433
16.0,24.1,7449
19.0,23.900000000000002,7468
25.0,24.500000000000004,7493
14.0,23.2,7507
16.0,23.700000000000003,7523
24.0,23.8,7547
12.0,19.0,7559
11.0,18.200000000000003,7570
27.0,17.7,7597
17.0,18.099999999999998,7614
12.0,17.7,7626
11.0,16.9,7637
10.0,15.399999999999999,7647
13.0,15.299999999999999,7660
16.0,15.299999999999999,7676
29.0,15.8,7705
