Episode_Return,Episode_Return_smooth,env_step
21.0,15.799999999999999,158
19.0,16.4,177
11.0,16.3,188
19.0,16.5,207
35.0,18.1,242
22.0,19.0,264
25.0,19.8,289
41.0,22.900000000000002,330
19.0,22.6,349
13.0,22.5,362
15.0,21.9,377
55.0,25.5,432
9.0,25.3,441
11.0,24.500000000000004,452
15.0,22.500000000000004,467
13.0,21.6,480
12.0,20.3,492
24.0,18.6,516
17.0,18.4,533
23.0,19.400000000000002,556
16.0,19.5,572
11.0,15.1,583
32.0,17.400000000000002,615
10.0,17.3,625
13.0,17.1,638
71.0,22.900000000000002,709
15.0,23.200000000000003,724
27.0,23.5,751
19.0,23.7,770
28.0,24.2,798
11.0,23.700000000000003,809
25.0,25.1,834
23.0,24.200000000000003,857
10.0,24.200000000000003,867
13.0,24.200000000000003,880
10.0,18.1,890
16.0,18.200000000000003,906
26.0,18.1,932
33.0,19.500000000000004,965
41.0,20.8,1006
14.0,21.099999999999998,1020
12.0,19.8,1032
16.0,19.1,1048
52.0,23.3,1100
13.0,23.3,1113
10.0,23.3,1123
29.0,24.599999999999998,1152
83.0,30.3,1235
21.0,29.100000000000005,1256
26.0,27.600000000000005,1282
21.0,28.300000000000004,1303
30.0,30.100000000000005,1333
21.0,30.600000000000005,1354
10.0,26.400000000000002,1364
22.0,27.300000000000004,1386
16.0,27.900000000000002,1402
20.0,27.000000000000004,1422
14.0,20.099999999999998,1436
42.0,22.2,1478
34.0,23.0,1512
19.0,22.799999999999997,1531
9.0,20.7,1540
20.0,20.6,1560
15.0,21.1,1575
16.0,20.500000000000004,1591
22.0,21.1,1613
24.0,21.5,1637
18.0,21.9,1655
25.0,20.2,1680
23.0,19.1,1703
14.0,18.599999999999998,1717
18.0,19.5,1735
16.0,19.1,1751
17.0,19.3,1768
42.0,21.900000000000002,1810
21.0,21.8,1831
19.0,21.3,1850
32.0,22.7,1882
16.0,21.8,1898
17.0,21.200000000000003,1915
55.0,25.3,1970
21.0,25.600000000000005,1991
37.0,27.700000000000003,2028
12.0,27.200000000000003,2040
17.0,24.7,2057
14.0,23.999999999999996,2071
19.0,23.999999999999996,2090
30.0,23.799999999999997,2120
26.0,24.8,2146
22.0,25.3,2168
27.0,22.5,2195
26.0,23.0,2221
22.0,21.5,2243
14.0,21.699999999999996,2257
24.0,22.399999999999995,2281
17.0,22.699999999999996,2298
29.0,23.699999999999996,2327
15.0,22.199999999999996,2342
22.0,21.8,2364
38.0,23.400000000000002,2402
17.0,22.4,2419
14.0,21.199999999999996,2433
18.0,20.8,2451
22.0,21.6,2473
21.0,21.3,2494
20.0,21.6,2514
10.0,19.7,2524
16.0,19.8,2540
29.0,20.5,2569
43.0,21.0,2612
23.0,21.6,2635
28.0,23.000000000000004,2663
27.0,23.900000000000002,2690
22.0,23.900000000000002,2712
41.0,25.900000000000002,2753
15.0,25.400000000000002,2768
15.0,25.900000000000002,2783
13.0,25.6,2796
20.0,24.7,2816
20.0,22.400000000000002,2836
58.0,25.900000000000002,2894
19.0,25.0,2913
39.0,26.2,2952
15.0,25.499999999999996,2967
15.0,22.9,2982
11.0,22.500000000000004,2993
18.0,22.800000000000004,3011
30.0,24.500000000000004,3041
10.0,23.500000000000004,3051
13.0,22.8,3064
15.0,18.5,3079
18.0,18.400000000000002,3097
22.0,16.700000000000003,3119
31.0,18.3,3150
52.0,22.0,3202
21.0,23.0,3223
32.0,24.4,3255
20.0,23.400000000000002,3275
15.0,23.900000000000002,3290
18.0,24.400000000000002,3308
43.0,27.200000000000003,3351
28.0,28.200000000000003,3379
18.0,27.800000000000004,3397
16.0,26.300000000000004,3413
31.0,24.200000000000006,3444
20.0,24.100000000000005,3464
56.0,26.500000000000004,3520
11.0,25.600000000000005,3531
14.0,25.500000000000004,3545
34.0,27.099999999999998,3579
34.0,26.2,3613
15.0,24.9,3628
10.0,24.099999999999998,3638
13.0,23.8,3651
16.0,22.300000000000004,3667
20.0,22.300000000000004,3687
23.0,19.000000000000004,3710
37.0,21.6,3747
11.0,21.3,3758
40.0,21.900000000000002,3798
44.0,22.900000000000002,3842
20.0,23.400000000000002,3862
55.0,27.9,3917
17.0,28.3,3934
34.0,30.099999999999998,3968
15.0,29.6,3983
16.0,28.900000000000002,3999
30.0,28.2,4029
11.0,28.200000000000003,4040
30.0,27.200000000000003,4070
12.0,24.0,4082
15.0,23.5,4097
10.0,19.0,4107
23.0,19.6,4130
36.0,19.8,4166
11.0,19.400000000000002,4177
18.0,19.6,4195
15.0,18.1,4210
16.0,18.6,4226
15.0,17.1,4241
22.0,18.1,4263
12.0,17.8,4275
12.0,18.0,4287
13.0,16.999999999999996,4300
16.0,14.999999999999998,4316
17.0,15.599999999999998,4333
13.0,15.1,4346
20.0,15.6,4366
8.0,14.8,4374
16.0,14.9,4390
9.0,13.600000000000001,4399
30.0,15.400000000000002,4429
15.0,15.700000000000001,4444
18.0,16.2,4462
38.0,18.400000000000002,4500
11.0,17.800000000000004,4511
27.0,19.200000000000003,4538
18.0,19.000000000000004,4556
54.0,23.6,4610
17.0,23.699999999999996,4627
18.0,24.599999999999998,4645
39.0,25.5,4684
9.0,24.9,4693
14.0,24.499999999999996,4707
14.0,22.099999999999994,4721
14.0,22.399999999999995,4735
15.0,21.2,4750
16.0,21.0,4766
49.0,20.5,4815
11.0,19.900000000000002,4826
27.0,20.8,4853
30.0,19.900000000000002,4883
29.0,21.9,4912
14.0,21.9,4926
21.0,22.599999999999998,4947
25.0,23.7,4972
14.0,23.599999999999998,4986
17.0,23.7,5003
11.0,19.900000000000002,5014
13.0,20.1,5027
26.0,20.000000000000004,5053
35.0,20.500000000000004,5088
29.0,20.5,5117
16.0,20.700000000000003,5133
11.0,19.700000000000003,5144
26.0,19.800000000000004,5170
18.0,20.200000000000003,5188
35.0,22.000000000000004,5223
36.0,24.5,5259
31.0,26.3,5290
29.0,26.6,5319
12.0,24.3,5331
9.0,22.299999999999997,5340
24.0,23.099999999999994,5364
54.0,27.399999999999995,5418
30.0,27.799999999999997,5448
10.0,27.0,5458
15.0,25.0,5473
20.0,23.400000000000002,5493
35.0,23.8,5528
14.0,22.3,5542
18.0,22.900000000000002,5560
14.0,23.4,5574
9.0,21.9,5583
14.0,17.9,5597
27.0,17.6,5624
10.0,17.6,5634
13.0,17.400000000000002,5647
18.0,17.2,5665
21.0,15.800000000000002,5686
34.0,17.8,5720
30.0,19.0,5750
15.0,19.1,5765
24.0,20.6,5789
11.0,20.3,5800
17.0,19.3,5817
19.0,20.2,5836
59.0,24.799999999999997,5895
20.0,24.999999999999996,5915
13.0,24.2,5928
20.0,22.8,5948
20.0,21.8,5968
17.0,22.0,5985
29.0,22.5,6014
31.0,24.5,6045
24.0,25.2,6069
15.0,24.8,6084
37.0,22.599999999999998,6121
12.0,21.8,6133
13.0,21.8,6146
36.0,23.400000000000002,6182
12.0,22.600000000000005,6194
26.0,23.500000000000004,6220
26.0,23.200000000000003,6246
48.0,24.900000000000002,6294
12.0,23.7,6306
15.0,23.7,6321
12.0,21.2,6333
10.0,21.0,6343
24.0,22.099999999999998,6367
20.0,20.5,6387
10.0,20.299999999999997,6397
14.0,19.099999999999998,6411
12.0,17.7,6423
13.0,14.200000000000001,6436
16.0,14.600000000000001,6452
16.0,14.7,6468
26.0,16.1,6494
9.0,16.0,6503
13.0,14.9,6516
14.0,14.3,6530
13.0,14.600000000000001,6543
16.0,14.800000000000002,6559
15.0,15.100000000000001,6574
22.0,16.000000000000004,6596
21.0,16.5,6617
26.0,17.5,6643
11.0,15.999999999999998,6654
13.0,16.4,6667
13.0,16.4,6680
27.0,17.700000000000003,6707
12.0,17.6,6719
19.0,17.9,6738
16.0,18.000000000000004,6754
47.0,20.5,6801
14.0,19.799999999999997,6815
23.0,19.5,6838
11.0,19.500000000000004,6849
19.0,20.1,6868
17.0,20.5,6885
21.0,19.900000000000002,6906
42.0,22.900000000000002,6948
46.0,25.6,6994
30.0,27.0,7024
13.0,23.6,7037
26.0,24.800000000000004,7063
15.0,24.000000000000004,7078
10.0,23.900000000000002,7088
37.0,25.7,7125
13.0,25.3,7138
16.0,24.800000000000004,7154
15.0,22.1,7169
45.0,22.000000000000004,7214
