Episode_Return,env_step
37.0,37
31.0,68
20.0,88
13.0,101
26.0,127
14.0,141
17.0,158
12.0,170
11.0,181
10.0,191
13.0,204
16.0,220
11.0,231
24.0,255
21.0,276
12.0,288
11.0,299
9.0,308
67.0,375
13.0,388
14.0,402
11.0,413
12.0,425
31.0,456
40.0,496
25.0,521
15.0,536
9.0,545
18.0,563
12.0,575
26.0,601
20.0,621
10.0,631
13.0,644
30.0,674
22.0,696
10.0,706
22.0,728
14.0,742
27.0,769
50.0,819
36.0,855
19.0,874
19.0,893
27.0,920
28.0,948
18.0,966
18.0,984
15.0,999
39.0,1038
11.0,1049
17.0,1066
43.0,1109
28.0,1137
14.0,1151
28.0,1179
18.0,1197
22.0,1219
15.0,1234
27.0,1261
16.0,1277
22.0,1299
13.0,1312
21.0,1333
9.0,1342
18.0,1360
11.0,1371
12.0,1383
27.0,1410
19.0,1429
14.0,1443
35.0,1478
9.0,1487
15.0,1502
11.0,1513
17.0,1530
53.0,1583
24.0,1607
33.0,1640
18.0,1658
15.0,1673
30.0,1703
24.0,1727
8.0,1735
23.0,1758
21.0,1779
15.0,1794
20.0,1814
20.0,1834
14.0,1848
15.0,1863
16.0,1879
48.0,1927
18.0,1945
10.0,1955
20.0,1975
10.0,1985
9.0,1994
16.0,2010
39.0,2049
69.0,2118
36.0,2154
12.0,2166
23.0,2189
10.0,2199
26.0,2225
10.0,2235
14.0,2249
21.0,2270
42.0,2312
19.0,2331
16.0,2347
12.0,2359
19.0,2378
25.0,2403
22.0,2425
17.0,2442
23.0,2465
18.0,2483
15.0,2498
20.0,2518
25.0,2543
27.0,2570
21.0,2591
11.0,2602
19.0,2621
23.0,2644
14.0,2658
12.0,2670
40.0,2710
19.0,2729
29.0,2758
10.0,2768
17.0,2785
18.0,2803
20.0,2823
30.0,2853
19.0,2872
19.0,2891
14.0,2905
13.0,2918
36.0,2954
46.0,3000
12.0,3012
14.0,3026
40.0,3066
89.0,3155
33.0,3188
23.0,3211
10.0,3221
11.0,3232
9.0,3241
37.0,3278
13.0,3291
29.0,3320
11.0,3331
17.0,3348
14.0,3362
12.0,3374
15.0,3389
12.0,3401
17.0,3418
32.0,3450
29.0,3479
12.0,3491
18.0,3509
17.0,3526
13.0,3539
13.0,3552
29.0,3581
17.0,3598
21.0,3619
11.0,3630
34.0,3664
13.0,3677
19.0,3696
34.0,3730
19.0,3749
18.0,3767
11.0,3778
18.0,3796
19.0,3815
13.0,3828
20.0,3848
53.0,3901
20.0,3921
12.0,3933
84.0,4017
21.0,4038
20.0,4058
28.0,4086
9.0,4095
18.0,4113
13.0,4126
24.0,4150
18.0,4168
18.0,4186
16.0,4202
28.0,4230
65.0,4295
23.0,4318
31.0,4349
14.0,4363
16.0,4379
15.0,4394
25.0,4419
27.0,4446
46.0,4492
46.0,4538
23.0,4561
23.0,4584
16.0,4600
14.0,4614
11.0,4625
19.0,4644
17.0,4661
18.0,4679
20.0,4699
37.0,4736
17.0,4753
38.0,4791
12.0,4803
38.0,4841
19.0,4860
45.0,4905
19.0,4924
12.0,4936
22.0,4958
15.0,4973
11.0,4984
24.0,5008
22.0,5030
17.0,5047
9.0,5056
24.0,5080
42.0,5122
18.0,5140
34.0,5174
54.0,5228
20.0,5248
25.0,5273
11.0,5284
22.0,5306
11.0,5317
33.0,5350
16.0,5366
19.0,5385
10.0,5395
12.0,5407
13.0,5420
21.0,5441
21.0,5462
24.0,5486
71.0,5557
55.0,5612
13.0,5625
10.0,5635
15.0,5650
15.0,5665
10.0,5675
37.0,5712
23.0,5735
26.0,5761
37.0,5798
23.0,5821
15.0,5836
53.0,5889
20.0,5909
20.0,5929
22.0,5951
14.0,5965
41.0,6006
13.0,6019
18.0,6037
17.0,6054
13.0,6067
12.0,6079
33.0,6112
14.0,6126
42.0,6168
19.0,6187
13.0,6200
17.0,6217
14.0,6231
54.0,6285
27.0,6312
10.0,6322
