Episode_Return,Episode_Return_smooth,env_step
14.0,28.9,289
31.0,30.6,320
12.0,28.0,332
15.0,25.2,347
14.0,24.799999999999997,361
25.0,24.299999999999997,386
43.0,26.8,429
14.0,23.8,443
42.0,23.599999999999998,485
9.0,21.9,494
12.0,21.7,506
36.0,22.2,542
40.0,25.000000000000004,582
18.0,25.300000000000004,600
18.0,25.700000000000003,618
12.0,24.400000000000002,630
12.0,21.3,642
12.0,21.099999999999998,654
43.0,21.200000000000003,697
19.0,22.2,716
16.0,22.599999999999998,732
11.0,20.1,743
18.0,17.900000000000002,761
30.0,19.1,791
12.0,18.5,803
28.0,20.1,831
16.0,20.500000000000004,847
19.0,21.2,866
21.0,19.0,887
12.0,18.3,899
17.0,18.4,916
13.0,18.6,929
43.0,21.099999999999998,972
52.0,23.299999999999997,1024
27.0,24.799999999999997,1051
13.0,23.3,1064
11.0,22.800000000000004,1075
31.0,24.000000000000004,1106
40.0,25.900000000000006,1146
16.0,26.300000000000004,1162
21.0,26.700000000000003,1183
22.0,27.6,1205
16.0,24.900000000000006,1221
12.0,20.9,1233
18.0,20.0,1251
14.0,20.099999999999998,1265
26.0,21.599999999999998,1291
33.0,21.8,1324
23.0,20.1,1347
12.0,19.7,1359
21.0,19.7,1380
11.0,18.600000000000005,1391
64.0,23.4,1455
12.0,23.400000000000002,1467
14.0,22.999999999999996,1481
18.0,23.4,1499
12.0,21.999999999999996,1511
17.0,20.4,1528
14.0,19.5,1542
15.0,19.8,1557
16.0,19.3,1573
17.0,19.900000000000002,1590
14.0,14.9,1604
18.0,15.500000000000002,1622
11.0,15.200000000000001,1633
14.0,14.8,1647
19.0,15.500000000000002,1666
27.0,16.5,1693
19.0,17.0,1712
15.0,17.0,1727
18.0,17.2,1745
30.0,18.500000000000004,1775
20.0,19.1,1795
19.0,19.2,1814
25.0,20.6,1839
21.0,21.300000000000004,1860
38.0,23.200000000000003,1898
12.0,21.700000000000003,1910
19.0,21.7,1929
76.0,27.799999999999997,2005
24.0,28.4,2029
20.0,27.4,2049
28.0,28.2,2077
12.0,27.5,2089
31.0,28.1,2120
24.0,28.4,2144
20.0,26.6,2164
10.0,26.4,2174
11.0,25.6,2185
23.0,20.300000000000004,2208
35.0,21.4,2243
16.0,21.000000000000004,2259
16.0,19.800000000000004,2275
15.0,20.1,2290
15.0,18.5,2305
20.0,18.1,2325
14.0,17.5,2339
15.0,18.0,2354
13.0,18.200000000000003,2367
16.0,17.5,2383
19.0,15.900000000000002,2402
18.0,16.1,2420
11.0,15.600000000000001,2431
24.0,16.5,2455
42.0,19.200000000000003,2497
16.0,18.800000000000004,2513
28.0,20.200000000000003,2541
22.0,20.9,2563
14.0,20.999999999999996,2577
18.0,21.2,2595
39.0,23.2,2634
13.0,22.7,2647
16.0,23.200000000000003,2663
57.0,26.500000000000004,2720
18.0,24.1,2738
15.0,24.000000000000004,2753
46.0,25.800000000000004,2799
17.0,25.3,2816
18.0,25.700000000000003,2834
17.0,25.6,2851
26.0,24.300000000000004,2877
20.0,25.000000000000004,2897
11.0,24.5,2908
11.0,19.900000000000002,2919
30.0,21.1,2949
27.0,22.3,2976
27.0,20.4,3003
16.0,20.3,3019
30.0,21.5,3049
13.0,21.1,3062
32.0,21.7,3094
16.0,21.3,3110
11.0,21.300000000000004,3121
16.0,21.800000000000004,3137
22.0,21.000000000000004,3159
10.0,19.3,3169
37.0,20.3,3206
14.0,20.099999999999998,3220
15.0,18.599999999999998,3235
12.0,18.5,3247
28.0,18.1,3275
20.0,18.5,3295
21.0,19.500000000000004,3316
10.0,18.900000000000002,3326
21.0,18.800000000000004,3347
15.0,19.3,3362
15.0,17.1,3377
21.0,17.8,3398
12.0,17.5,3410
33.0,19.6,3443
58.0,22.6,3501
22.0,22.8,3523
11.0,21.8,3534
45.0,25.3,3579
22.0,25.400000000000002,3601
20.0,25.900000000000002,3621
13.0,25.7,3634
11.0,24.700000000000003,3645
15.0,25.000000000000004,3660
12.0,22.900000000000002,3672
11.0,18.200000000000003,3683
25.0,18.5,3708
15.0,18.900000000000002,3723
51.0,19.5,3774
16.0,18.900000000000002,3790
9.0,17.799999999999997,3799
20.0,18.5,3819
28.0,20.200000000000003,3847
26.0,21.3,3873
14.0,21.5,3887
21.0,22.5,3908
13.0,21.300000000000004,3921
19.0,21.700000000000003,3940
35.0,20.1,3975
24.0,20.900000000000002,3999
12.0,21.2,4011
16.0,20.8,4027
14.0,19.400000000000002,4041
8.0,17.6,4049
54.0,21.599999999999998,4103
12.0,20.7,4115
33.0,22.7,4148
9.0,21.7,4157
19.0,20.099999999999998,4176
17.0,19.4,4193
16.0,19.8,4209
14.0,19.6,4223
16.0,19.8,4239
19.0,20.9,4258
11.0,16.6,4269
31.0,18.5,4300
40.0,19.2,4340
19.0,20.2,4359
12.0,19.5,4371
41.0,21.9,4412
19.0,22.2,4431
14.0,22.2,4445
11.0,21.7,4456
65.0,26.3,4521
13.0,26.5,4534
12.0,24.6,4546
29.0,23.5,4575
16.0,23.200000000000003,4591
29.0,24.9,4620
21.0,22.900000000000002,4641
15.0,22.5,4656
19.0,23.0,4675
18.0,23.7,4693
19.0,19.099999999999998,4712
26.0,20.400000000000002,4738
13.0,20.500000000000004,4751
24.0,20.000000000000004,4775
18.0,20.2,4793
23.0,19.6,4816
19.0,19.400000000000002,4835
29.0,20.8,4864
18.0,20.7,4882
14.0,20.3,4896
14.0,19.8,4910
12.0,18.4,4922
47.0,21.8,4969
13.0,20.700000000000003,4982
13.0,20.200000000000003,4995
12.0,19.1,5007
21.0,19.300000000000004,5028
19.0,18.3,5047
35.0,20.0,5082
41.0,22.700000000000003,5123
36.0,24.900000000000002,5159
16.0,25.300000000000004,5175
31.0,23.700000000000003,5206
14.0,23.800000000000004,5220
10.0,23.500000000000004,5230
24.0,24.7,5254
13.0,23.9,5267
42.0,26.2,5309
22.0,24.9,5331
13.0,22.1,5344
14.0,19.900000000000002,5358
22.0,20.5,5380
33.0,20.700000000000003,5413
11.0,20.400000000000002,5424
15.0,20.900000000000002,5439
22.0,20.7,5461
14.0,20.799999999999997,5475
15.0,18.099999999999998,5490
23.0,18.2,5513
15.0,18.4,5528
30.0,20.0,5558
19.0,19.7,5577
13.0,17.7,5590
18.0,18.400000000000002,5608
22.0,19.1,5630
45.0,21.400000000000002,5675
17.0,21.700000000000003,5692
26.0,22.800000000000004,5718
41.0,24.6,5759
33.0,26.400000000000002,5792
15.0,24.900000000000002,5807
18.0,24.8,5825
20.0,25.5,5845
15.0,25.2,5860
21.0,25.1,5881
21.0,22.700000000000006,5902
58.0,26.800000000000004,5960
13.0,25.500000000000004,5973
28.0,24.200000000000003,6001
18.0,22.700000000000003,6019
12.0,22.400000000000002,6031
17.0,22.3,6048
46.0,24.900000000000002,6094
19.0,25.3,6113
26.0,25.800000000000004,6139
11.0,24.8,6150
28.0,21.800000000000004,6178
19.0,22.400000000000002,6197
57.0,25.299999999999997,6254
30.0,26.5,6284
21.0,27.400000000000002,6305
37.0,29.400000000000002,6342
21.0,26.900000000000002,6363
26.0,27.600000000000005,6389
23.0,27.300000000000004,6412
67.0,32.900000000000006,6479
11.0,31.200000000000006,6490
15.0,30.800000000000004,6505
12.0,26.3,6517
16.0,24.900000000000006,6533
17.0,24.500000000000004,6550
15.0,22.3,6565
18.0,22.0,6583
34.0,22.799999999999997,6617
50.0,25.499999999999996,6667
49.0,23.700000000000003,6716
19.0,24.5,6735
17.0,24.699999999999996,6752
13.0,24.799999999999997,6765
17.0,24.9,6782
18.0,25.0,6800
12.0,24.7,6812
13.0,24.200000000000003,6825
27.0,23.5,6852
18.0,20.3,6870
16.0,17.0,6886
25.0,17.6,6911
32.0,19.1,6943
13.0,19.1,6956
43.0,21.700000000000003,6999
21.0,22.000000000000004,7020
25.0,23.300000000000004,7045
23.0,24.300000000000004,7068
39.0,25.500000000000004,7107
14.0,25.1,7121
17.0,25.199999999999996,7138
29.0,25.599999999999998,7167
21.0,24.5,7188
81.0,31.3,7269
10.0,28.000000000000004,7279
19.0,27.8,7298
13.0,26.6,7311
15.0,25.8,7326
39.0,25.799999999999997,7365
15.0,25.9,7380
61.0,30.3,7441
12.0,28.6,7453
19.0,28.4,7472
10.0,21.299999999999997,7482
34.0,23.699999999999996,7516
33.0,25.099999999999998,7549
17.0,25.499999999999996,7566
71.0,31.1,7637
17.0,28.900000000000002,7654
13.0,28.700000000000003,7667
24.0,25.0,7691
12.0,25.0,7703
31.0,26.2,7734
16.0,26.8,7750
12.0,24.6,7762
15.0,22.8,7777
39.0,25.0,7816
32.0,21.099999999999998,7848
22.0,21.599999999999998,7870
18.0,22.1,7888
55.0,25.200000000000003,7943
14.0,25.4,7957
12.0,23.5,7969
20.0,23.9,7989
26.0,25.3,8015
13.0,25.1,8028
28.0,24.000000000000004,8056
11.0,21.900000000000002,8067
15.0,21.200000000000003,8082
20.0,21.400000000000002,8102
19.0,17.8,8121
29.0,19.299999999999997,8150
38.0,21.900000000000002,8188
23.0,22.200000000000003,8211
9.0,20.5,8220
42.0,23.4,8262
25.0,23.1,8287
17.0,23.700000000000003,8304
25.0,24.7,8329
25.0,25.200000000000003,8354
14.0,24.7,8368
35.0,25.3,8403
38.0,25.3,8441
15.0,24.500000000000004,8456
21.0,25.700000000000003,8477
17.0,23.200000000000003,8494
10.0,21.700000000000003,8504
10.0,21.0,8514
27.0,21.2,8541
21.0,20.8,8562
15.0,20.900000000000002,8577
88.0,26.200000000000003,8665
20.0,24.4,8685
21.0,25.0,8706
18.0,24.700000000000003,8724
19.0,24.900000000000002,8743
9.0,24.8,8752
14.0,25.2,8766
13.0,23.799999999999997,8779
10.0,22.699999999999996,8789
15.0,22.7,8804
11.0,15.000000000000002,8815
36.0,16.6,8851
16.0,16.1,8867
26.0,16.9,8893
37.0,18.7,8930
12.0,19.0,8942
16.0,19.2,8958
31.0,21.000000000000004,8989
22.0,22.200000000000003,9011
15.0,22.2,9026
28.0,23.900000000000002,9054
15.0,21.8,9069
18.0,22.0,9087
20.0,21.4,9107
19.0,19.6,9126
18.0,20.200000000000003,9144
15.0,20.1,9159
14.0,18.400000000000002,9173
21.0,18.3,9194
25.0,19.300000000000004,9219
12.0,17.700000000000003,9231
14.0,17.599999999999998,9245
45.0,20.3,9290
