Episode_Return,env_step
9.0,9
35.0,44
15.0,59
11.0,70
23.0,93
17.0,110
13.0,123
17.0,140
41.0,181
17.0,198
29.0,227
14.0,241
11.0,252
12.0,264
50.0,314
32.0,346
21.0,367
41.0,408
34.0,442
31.0,473
15.0,488
32.0,520
24.0,544
19.0,563
11.0,574
15.0,589
33.0,622
14.0,636
16.0,652
20.0,672
22.0,694
11.0,705
9.0,714
23.0,737
27.0,764
12.0,776
30.0,806
16.0,822
23.0,845
45.0,890
17.0,907
13.0,920
13.0,933
14.0,947
21.0,968
27.0,995
51.0,1046
29.0,1075
24.0,1099
33.0,1132
34.0,1166
16.0,1182
16.0,1198
26.0,1224
48.0,1272
28.0,1300
17.0,1317
23.0,1340
12.0,1352
26.0,1378
12.0,1390
11.0,1401
29.0,1430
18.0,1448
26.0,1474
21.0,1495
18.0,1513
26.0,1539
22.0,1561
11.0,1572
46.0,1618
25.0,1643
10.0,1653
34.0,1687
18.0,1705
10.0,1715
12.0,1727
23.0,1750
16.0,1766
16.0,1782
19.0,1801
16.0,1817
29.0,1846
12.0,1858
14.0,1872
19.0,1891
15.0,1906
32.0,1938
28.0,1966
12.0,1978
15.0,1993
12.0,2005
17.0,2022
20.0,2042
27.0,2069
23.0,2092
44.0,2136
51.0,2187
25.0,2212
26.0,2238
19.0,2257
13.0,2270
39.0,2309
22.0,2331
21.0,2352
24.0,2376
44.0,2420
29.0,2449
11.0,2460
13.0,2473
27.0,2500
18.0,2518
31.0,2549
10.0,2559
20.0,2579
11.0,2590
14.0,2604
25.0,2629
12.0,2641
23.0,2664
78.0,2742
22.0,2764
18.0,2782
16.0,2798
18.0,2816
27.0,2843
16.0,2859
17.0,2876
14.0,2890
25.0,2915
60.0,2975
15.0,2990
11.0,3001
22.0,3023
23.0,3046
37.0,3083
28.0,3111
16.0,3127
13.0,3140
14.0,3154
39.0,3193
23.0,3216
67.0,3283
20.0,3303
21.0,3324
20.0,3344
41.0,3385
25.0,3410
17.0,3427
24.0,3451
25.0,3476
18.0,3494
26.0,3520
14.0,3534
13.0,3547
14.0,3561
14.0,3575
15.0,3590
25.0,3615
21.0,3636
26.0,3662
11.0,3673
11.0,3684
13.0,3697
19.0,3716
13.0,3729
15.0,3744
11.0,3755
24.0,3779
25.0,3804
35.0,3839
18.0,3857
11.0,3868
21.0,3889
44.0,3933
15.0,3948
20.0,3968
13.0,3981
17.0,3998
11.0,4009
18.0,4027
12.0,4039
33.0,4072
16.0,4088
19.0,4107
57.0,4164
17.0,4181
23.0,4204
15.0,4219
15.0,4234
32.0,4266
20.0,4286
17.0,4303
11.0,4314
17.0,4331
27.0,4358
17.0,4375
10.0,4385
25.0,4410
23.0,4433
14.0,4447
19.0,4466
27.0,4493
15.0,4508
38.0,4546
16.0,4562
15.0,4577
10.0,4587
16.0,4603
15.0,4618
17.0,4635
35.0,4670
15.0,4685
21.0,4706
9.0,4715
17.0,4732
17.0,4749
15.0,4764
27.0,4791
14.0,4805
13.0,4818
26.0,4844
14.0,4858
13.0,4871
21.0,4892
29.0,4921
11.0,4932
12.0,4944
15.0,4959
19.0,4978
11.0,4989
11.0,5000
25.0,5025
14.0,5039
19.0,5058
27.0,5085
20.0,5105
21.0,5126
26.0,5152
16.0,5168
11.0,5179
33.0,5212
23.0,5235
28.0,5263
13.0,5276
16.0,5292
21.0,5313
12.0,5325
18.0,5343
40.0,5383
31.0,5414
12.0,5426
37.0,5463
15.0,5478
10.0,5488
14.0,5502
37.0,5539
10.0,5549
28.0,5577
15.0,5592
33.0,5625
9.0,5634
18.0,5652
14.0,5666
15.0,5681
15.0,5696
49.0,5745
14.0,5759
35.0,5794
13.0,5807
16.0,5823
21.0,5844
38.0,5882
23.0,5905
13.0,5918
56.0,5974
46.0,6020
14.0,6034
27.0,6061
22.0,6083
14.0,6097
24.0,6121
36.0,6157
18.0,6175
10.0,6185
27.0,6212
17.0,6229
30.0,6259
24.0,6283
25.0,6308
10.0,6318
14.0,6332
19.0,6351
24.0,6375
18.0,6393
13.0,6406
14.0,6420
23.0,6443
24.0,6467
13.0,6480
44.0,6524
38.0,6562
13.0,6575
17.0,6592
16.0,6608
14.0,6622
25.0,6647
17.0,6664
50.0,6714
15.0,6729
11.0,6740
19.0,6759
54.0,6813
24.0,6837
27.0,6864
33.0,6897
10.0,6907
16.0,6923
16.0,6939
24.0,6963
19.0,6982
11.0,6993
18.0,7011
22.0,7033
33.0,7066
34.0,7100
23.0,7123
18.0,7141
17.0,7158
32.0,7190
30.0,7220
15.0,7235
22.0,7257
18.0,7275
50.0,7325
22.0,7347
9.0,7356
13.0,7369
30.0,7399
33.0,7432
24.0,7456
23.0,7479
21.0,7500
10.0,7510
40.0,7550
27.0,7577
14.0,7591
12.0,7603
23.0,7626
13.0,7639
23.0,7662
20.0,7682
10.0,7692
17.0,7709
19.0,7728
25.0,7753
37.0,7790
11.0,7801
21.0,7822
20.0,7842
27.0,7869
11.0,7880
24.0,7904
16.0,7920
25.0,7945
15.0,7960
12.0,7972
51.0,8023
20.0,8043
28.0,8071
9.0,8080
13.0,8093
16.0,8109
40.0,8149
12.0,8161
10.0,8171
16.0,8187
9.0,8196
14.0,8210
16.0,8226
30.0,8256
16.0,8272
11.0,8283
18.0,8301
14.0,8315
16.0,8331
30.0,8361
22.0,8383
14.0,8397
36.0,8433
48.0,8481
11.0,8492
13.0,8505
11.0,8516
21.0,8537
17.0,8554
13.0,8567
19.0,8586
11.0,8597
32.0,8629
12.0,8641
19.0,8660
23.0,8683
41.0,8724
12.0,8736
19.0,8755
31.0,8786
12.0,8798
23.0,8821
20.0,8841
39.0,8880
17.0,8897
36.0,8933
17.0,8950
42.0,8992
16.0,9008
32.0,9040
19.0,9059
18.0,9077
13.0,9090
25.0,9115
10.0,9125
20.0,9145
16.0,9161
14.0,9175
9.0,9184
36.0,9220
35.0,9255
42.0,9297
30.0,9327
14.0,9341
26.0,9367
12.0,9379
11.0,9390
48.0,9438
12.0,9450
19.0,9469
29.0,9498
25.0,9523
17.0,9540
14.0,9554
23.0,9577
45.0,9622
26.0,9648
30.0,9678
21.0,9699
36.0,9735
14.0,9749
29.0,9778
28.0,9806
18.0,9824
13.0,9837
21.0,9858
19.0,9877
23.0,9900
42.0,9942
33.0,9975
16.0,9991
16.0,10007
15.0,10022
16.0,10038
18.0,10056
12.0,10068
34.0,10102
16.0,10118
18.0,10136
19.0,10155
13.0,10168
44.0,10212
43.0,10255
28.0,10283
14.0,10297
29.0,10326
78.0,10404
15.0,10419
37.0,10456
30.0,10486
29.0,10515
22.0,10537
15.0,10552
10.0,10562
64.0,10626
16.0,10642
22.0,10664
24.0,10688
14.0,10702
37.0,10739
40.0,10779
49.0,10828
32.0,10860
12.0,10872
15.0,10887
15.0,10902
21.0,10923
13.0,10936
26.0,10962
12.0,10974
27.0,11001
51.0,11052
12.0,11064
11.0,11075
32.0,11107
24.0,11131
18.0,11149
28.0,11177
11.0,11188
16.0,11204
14.0,11218
31.0,11249
20.0,11269
15.0,11284
15.0,11299
40.0,11339
12.0,11351
15.0,11366
17.0,11383
18.0,11401
14.0,11415
15.0,11430
28.0,11458
13.0,11471
10.0,11481
